iter	RMSE
0	42.88593043
1	41.07174126
2	39.36553969
3	37.78134432
4	36.20938063
5	34.666518
6	33.23653911
7	31.85725571
8	30.60625113
9	29.36529749
10	28.22761279
11	27.09510322
12	26.08715618
13	25.06729762
14	24.08416048
15	23.15709815
16	22.30663871
17	21.48144197
18	20.66362754
19	19.92366386
20	19.18037981
21	18.51442264
22	17.85508932
23	17.24501083
24	16.69294596
25	16.14698313
26	15.62382508
27	15.13530079
28	14.65706025
29	14.19607613
30	13.76341518
31	13.35258007
32	12.94898044
33	12.60188431
34	12.23986387
35	11.88043503
36	11.56843233
37	11.23932469
38	10.94855117
39	10.66726897
40	10.39271716
41	10.1355345
42	9.901436296
43	9.645677125
44	9.411461423
45	9.208791138
46	8.987608485
47	8.803073676
48	8.60959908
49	8.413937013
50	8.234700777
51	8.080176958
52	7.900473243
53	7.74246305
54	7.595446387
55	7.448991419
56	7.314189923
57	7.18392835
58	7.056260902
59	6.933653291
60	6.805067722
61	6.704500764
62	6.596468128
63	6.494633333
64	6.372769217
65	6.27150525
66	6.177191558
67	6.086982597
68	6.000762801
69	5.921674624
70	5.835987149
71	5.737534831
72	5.665841519
73	5.586482051
74	5.519287952
75	5.443216106
76	5.367284948
77	5.319630987
78	5.25854768
79	5.20632857
80	5.134842003
81	5.076859887
82	5.018541552
83	4.966173324
84	4.917033163
85	4.874307592
86	4.834767931
87	4.789419152
88	4.737938913
89	4.694378269
90	4.65545032
91	4.599882406
92	4.564729979
93	4.519303644
94	4.481285157
95	4.450491573
96	4.409366132
97	4.368755661
98	4.328501023
99	4.290121123
100	4.246308876
101	4.212560874
102	4.183837788
103	4.160252961
104	4.118010629
105	4.078078075
106	4.056411373
107	4.026647548
108	3.998389374
109	3.964685494
110	3.930125756
111	3.899720746
112	3.873157165
113	3.839880435
114	3.817054492
115	3.798535532
116	3.777650606
117	3.759742715
118	3.737252898
119	3.722053874
120	3.708026948
121	3.685007708
122	3.668663921
123	3.647519173
124	3.629750482
125	3.615480557
126	3.593521373
127	3.568856128
128	3.55251758
129	3.531638763
130	3.517808371
131	3.498641882
132	3.477819288
133	3.45983509
134	3.432723409
135	3.412743571
136	3.398441473
137	3.381774219
138	3.365471956
139	3.350960151
140	3.330511992
141	3.304999619
142	3.288021442
143	3.270427334
144	3.252978068
145	3.237069406
146	3.222213094
147	3.210025749
148	3.193184021
149	3.181227535
150	3.170311238
151	3.146262318
152	3.130114644
153	3.116288021
154	3.097151729
155	3.083314051
156	3.069785426
157	3.049728702
158	3.031533987
159	3.01251737
160	2.996635888
161	2.985500184
162	2.972409696
163	2.953300649
164	2.94356147
165	2.933854615
166	2.919424092
167	2.900788304
168	2.891420538
169	2.873711226
170	2.865360853
171	2.85505546
172	2.843652312
173	2.829375315
174	2.824258485
175	2.811561494
176	2.796237838
177	2.783424002
178	2.765186207
179	2.748051103
180	2.736329397
181	2.720566709
182	2.711132934
183	2.700312445
184	2.69001715
185	2.678095052
186	2.661886324
187	2.651011436
188	2.63833987
189	2.628200345
190	2.61836641
191	2.602075635
192	2.59439347
193	2.588716001
194	2.573717804
195	2.565711615
196	2.556058367
197	2.541749121
198	2.534846473
199	2.525483426
