Date,Location,Variety,Price
2023-11-15,Dambulla,CARROT,293.5
2023-12-15,Dambulla,CARROT,379.0
2024-01-15,Dambulla,CARROT,1091.0
2024-02-15,Dambulla,CARROT,499.5
2024-03-15,Dambulla,CARROT,293.0
2024-04-15,Dambulla,CARROT,217.6
2024-05-15,Dambulla,CARROT,134.0
2024-06-15,Dambulla,CARROT,319.5
2024-07-15,Dambulla,CARROT,364.4
2024-08-15,Dambulla,CARROT,187.0
2024-09-15,Dambulla,CARROT,148.0
2024-10-15,Dambulla,CARROT,82.75
2024-11-15,Dambulla,CARROT,93.5
2024-12-15,Dambulla,CARROT,149.6
2000-01-15,Dambulla,PUMPKIN,5.9
2000-02-15,Dambulla,PUMPKIN,4.21
2000-03-15,Dambulla,PUMPKIN,5.32
2000-04-15,Dambulla,PUMPKIN,6.04
2000-05-15,Dambulla,PUMPKIN,8.2
2000-06-15,Dambulla,PUMPKIN,12.33
2000-07-15,Dambulla,PUMPKIN,14.53
2000-08-15,Dambulla,PUMPKIN,11.54
2000-09-15,Dambulla,PUMPKIN,13.94
2000-10-15,Dambulla,PUMPKIN,13.25
2000-11-15,Dambulla,PUMPKIN,8.94
2000-12-15,Dambulla,PUMPKIN,10.25
2001-01-15,Dambulla,PUMPKIN,13.75
2001-02-15,Dambulla,PUMPKIN,16.5
2001-03-15,Dambulla,PUMPKIN,19.42
2001-04-15,Dambulla,PUMPKIN,16.25
2001-05-15,Dambulla,PUMPKIN,14.88
2001-06-15,Dambulla,PUMPKIN,17.25
2001-07-15,Dambulla,PUMPKIN,25.75
2001-08-15,Dambulla,PUMPKIN,13.5
2001-09-15,Dambulla,PUMPKIN,11.88
2001-10-15,Dambulla,PUMPKIN,14.58
2001-11-15,Dambulla,PUMPKIN,11.25
2001-12-15,Dambulla,PUMPKIN,14.75
2002-01-15,Dambulla,PUMPKIN,10.25
2002-02-15,Dambulla,PUMPKIN,9.63
2002-03-15,Dambulla,PUMPKIN,13.13
2002-04-15,Dambulla,PUMPKIN,14.31
2002-05-15,Dambulla,PUMPKIN,11.75
2002-06-15,Dambulla,PUMPKIN,10.5
2002-07-15,Dambulla,PUMPKIN,16.58
2002-08-15,Dambulla,PUMPKIN,10.75
2002-09-15,Dambulla,PUMPKIN,10.9
2002-10-15,Dambulla,PUMPKIN,11.58
2002-11-15,Dambulla,PUMPKIN,13.0
2002-12-15,Dambulla,PUMPKIN,7.25
2003-01-15,Dambulla,PUMPKIN,6.67
2003-02-15,Dambulla,PUMPKIN,10.25
2003-03-15,Dambulla,PUMPKIN,9.88
2003-04-15,Dambulla,PUMPKIN,6.25
2003-05-15,Dambulla,PUMPKIN,9.13
2003-06-15,Dambulla,PUMPKIN,10.44
2003-07-15,Dambulla,PUMPKIN,7.97
2003-08-15,Dambulla,PUMPKIN,6.58
2003-09-15,Dambulla,PUMPKIN,11.17
2003-10-15,Dambulla,PUMPKIN,13.95
2003-11-15,Dambulla,PUMPKIN,14.8
2003-12-15,Dambulla,PUMPKIN,14.12
2004-01-15,Dambulla,PUMPKIN,7.83
2004-02-15,Dambulla,PUMPKIN,7.28
2004-03-15,Dambulla,PUMPKIN,6.04
2004-04-15,Dambulla,PUMPKIN,8.245
2004-05-15,Dambulla,PUMPKIN,10.45
2004-06-15,Dambulla,PUMPKIN,9.5
2004-07-15,Dambulla,PUMPKIN,15.05
2004-08-15,Dambulla,PUMPKIN,12.92
2004-09-15,Dambulla,PUMPKIN,8.55
2004-10-15,Dambulla,PUMPKIN,9.375
2004-11-15,Dambulla,PUMPKIN,10.2
2004-12-15,Dambulla,PUMPKIN,5.45
2005-01-15,Dambulla,PUMPKIN,5.2
2005-02-15,Dambulla,PUMPKIN,9.48
2005-04-15,Dambulla,PUMPKIN,11.1
2005-05-15,Dambulla,PUMPKIN,15.16
2005-06-15,Dambulla,PUMPKIN,13.4
2005-07-15,Dambulla,PUMPKIN,11.6
2005-08-15,Dambulla,PUMPKIN,7.4
2005-09-15,Dambulla,PUMPKIN,8.73
2005-10-15,Dambulla,PUMPKIN,10.55
2005-11-15,Dambulla,PUMPKIN,16.64
2005-12-15,Dambulla,PUMPKIN,14.93
2006-01-15,Dambulla,PUMPKIN,10.73
2006-02-15,Dambulla,PUMPKIN,17.85
2006-03-15,Dambulla,PUMPKIN,12.85
2006-04-15,Dambulla,PUMPKIN,8.6
2006-05-15,Dambulla,PUMPKIN,7.4
2006-06-15,Dambulla,PUMPKIN,8.0
2006-07-15,Dambulla,PUMPKIN,7.6
2006-08-15,Dambulla,PUMPKIN,8.78
2006-09-15,Dambulla,PUMPKIN,15.05
2006-10-15,Dambulla,PUMPKIN,19.94
2006-11-15,Dambulla,PUMPKIN,24.6
2006-12-15,Dambulla,PUMPKIN,12.3
2007-01-15,Dambulla,PUMPKIN,15.1
2007-02-15,Dambulla,PUMPKIN,18.4
2007-03-15,Dambulla,PUMPKIN,10.8
2007-04-15,Dambulla,PUMPKIN,7.3
2007-05-15,Dambulla,PUMPKIN,9.95
2007-06-15,Dambulla,PUMPKIN,15.67
2007-07-15,Dambulla,PUMPKIN,20.1
2007-08-15,Dambulla,PUMPKIN,12.95
2007-09-15,Dambulla,PUMPKIN,13.72
2007-10-15,Dambulla,PUMPKIN,17.93
2007-11-15,Dambulla,PUMPKIN,16.33
2007-12-15,Dambulla,PUMPKIN,10.58
2008-01-15,Dambulla,PUMPKIN,10.47
2008-02-15,Dambulla,PUMPKIN,8.9
2008-03-15,Dambulla,PUMPKIN,10.38
2008-04-15,Dambulla,PUMPKIN,20.27
2008-05-15,Dambulla,PUMPKIN,33.6
2008-06-15,Dambulla,PUMPKIN,43.1
2008-07-15,Dambulla,PUMPKIN,26.2
2008-08-15,Dambulla,PUMPKIN,20.05
2008-09-15,Dambulla,PUMPKIN,14.4
2008-10-15,Dambulla,PUMPKIN,12.05
2008-11-15,Dambulla,PUMPKIN,17.93
2008-12-15,Dambulla,PUMPKIN,20.15
2009-01-15,Dambulla,PUMPKIN,21.9
2009-02-15,Dambulla,PUMPKIN,34.05
2009-03-15,Dambulla,PUMPKIN,29.16
2009-04-15,Dambulla,PUMPKIN,21.45
2009-05-15,Dambulla,PUMPKIN,18.8
2009-06-15,Dambulla,PUMPKIN,26.76
2009-07-15,Dambulla,PUMPKIN,19.9
2009-08-15,Dambulla,PUMPKIN,9.2
2009-09-15,Dambulla,PUMPKIN,8.75
2009-10-15,Dambulla,PUMPKIN,12.07
2009-11-15,Dambulla,PUMPKIN,29.32
2009-12-15,Dambulla,PUMPKIN,25.3
2010-01-15,Dambulla,PUMPKIN,22.7
2010-02-15,Dambulla,PUMPKIN,13.93
2010-03-15,Dambulla,PUMPKIN,25.52
2010-04-15,Dambulla,PUMPKIN,14.47
2010-05-15,Dambulla,PUMPKIN,20.6
2010-06-15,Dambulla,PUMPKIN,30.07
2010-07-15,Dambulla,PUMPKIN,31.6
2010-08-15,Dambulla,PUMPKIN,29.64
2010-09-15,Dambulla,PUMPKIN,35.0
2010-10-15,Dambulla,PUMPKIN,28.85
2010-11-15,Dambulla,PUMPKIN,23.44
2010-12-15,Dambulla,PUMPKIN,20.25
2011-01-15,Dambulla,PUMPKIN,18.34
2011-02-15,Dambulla,PUMPKIN,57.45
2011-03-15,Dambulla,PUMPKIN,46.33
2011-04-15,Dambulla,PUMPKIN,34.2
2011-05-15,Dambulla,PUMPKIN,17.76
2011-06-15,Dambulla,PUMPKIN,14.0
2011-07-15,Dambulla,PUMPKIN,12.6
2011-08-15,Dambulla,PUMPKIN,14.96
2011-09-15,Dambulla,PUMPKIN,33.75
2011-10-15,Dambulla,PUMPKIN,36.4
2011-11-15,Dambulla,PUMPKIN,52.25
2011-12-15,Dambulla,PUMPKIN,49.0
2012-01-15,Dambulla,PUMPKIN,26.96
2012-02-15,Dambulla,PUMPKIN,24.2
2012-03-15,Dambulla,PUMPKIN,18.27
2012-04-15,Dambulla,PUMPKIN,12.4
2012-05-15,Dambulla,PUMPKIN,20.13
2012-06-15,Dambulla,PUMPKIN,57.53
2012-07-15,Dambulla,PUMPKIN,41.72
2012-08-15,Dambulla,PUMPKIN,35.3
2012-09-15,Dambulla,PUMPKIN,45.6
2012-10-15,Dambulla,PUMPKIN,33.36
2012-11-15,Dambulla,PUMPKIN,51.6
2012-12-15,Dambulla,PUMPKIN,19.04
2013-01-15,Dambulla,PUMPKIN,17.35
2013-02-15,Dambulla,PUMPKIN,27.0
2013-03-15,Dambulla,PUMPKIN,38.4
2013-04-15,Dambulla,PUMPKIN,16.6
2013-05-15,Dambulla,PUMPKIN,24.67
2013-06-15,Dambulla,PUMPKIN,31.75
2013-07-15,Dambulla,PUMPKIN,17.92
2013-08-15,Dambulla,PUMPKIN,19.6
2013-09-15,Dambulla,PUMPKIN,22.04
2013-10-15,Dambulla,PUMPKIN,16.5
2013-11-15,Dambulla,PUMPKIN,26.2
2013-12-15,Dambulla,PUMPKIN,17.08
2014-01-15,Dambulla,PUMPKIN,14.6
2014-02-15,Dambulla,PUMPKIN,21.45
2014-03-15,Dambulla,PUMPKIN,21.56
2014-04-15,Dambulla,PUMPKIN,23.05
2014-05-15,Dambulla,PUMPKIN,44.9
2014-06-15,Dambulla,PUMPKIN,58.24
2014-07-15,Dambulla,PUMPKIN,32.5
2014-08-15,Dambulla,PUMPKIN,18.3
2014-09-15,Dambulla,PUMPKIN,15.0
2014-10-15,Dambulla,PUMPKIN,22.2
2014-11-15,Dambulla,PUMPKIN,28.5
2014-12-15,Dambulla,PUMPKIN,22.92
2015-01-15,Dambulla,PUMPKIN,38.65
2015-02-15,Dambulla,PUMPKIN,103.0
2015-03-15,Dambulla,PUMPKIN,55.96
2015-04-15,Dambulla,PUMPKIN,13.1
2015-05-15,Dambulla,PUMPKIN,14.35
2015-06-15,Dambulla,PUMPKIN,12.92
2015-07-15,Dambulla,PUMPKIN,23.25
2015-08-15,Dambulla,PUMPKIN,28.64
2015-09-15,Dambulla,PUMPKIN,29.6
2015-10-15,Dambulla,PUMPKIN,33.1
2015-11-15,Dambulla,PUMPKIN,30.440000000000005
2015-12-15,Dambulla,PUMPKIN,33.1
2016-01-15,Dambulla,PUMPKIN,43.1
2016-02-15,Dambulla,PUMPKIN,68.4
2016-03-15,Dambulla,PUMPKIN,22.25
2016-04-15,Dambulla,PUMPKIN,20.1
2016-05-15,Dambulla,PUMPKIN,37.64
2016-06-15,Dambulla,PUMPKIN,80.0
2016-07-15,Dambulla,PUMPKIN,109.25
2016-08-15,Dambulla,PUMPKIN,41.48
2016-09-15,Dambulla,PUMPKIN,23.2
2016-10-15,Dambulla,PUMPKIN,25.36
2016-11-15,Dambulla,PUMPKIN,30.0
2016-12-15,Dambulla,PUMPKIN,33.2
2017-01-15,Dambulla,PUMPKIN,43.96
2017-02-15,Dambulla,PUMPKIN,47.65
2017-03-15,Dambulla,PUMPKIN,53.35
2017-04-15,Dambulla,PUMPKIN,45.53333333333333
2017-05-15,Dambulla,PUMPKIN,48.96
2017-06-15,Dambulla,PUMPKIN,86.25
2017-07-15,Dambulla,PUMPKIN,86.4
2017-08-15,Dambulla,PUMPKIN,33.3
2017-09-15,Dambulla,PUMPKIN,30.5
2017-10-15,Dambulla,PUMPKIN,38.4
2017-11-15,Dambulla,PUMPKIN,53.5
2017-12-15,Dambulla,PUMPKIN,44.1
2018-01-15,Dambulla,PUMPKIN,37.36
2018-02-15,Dambulla,PUMPKIN,45.35
2018-03-15,Dambulla,PUMPKIN,34.650000000000006
2018-04-15,Dambulla,PUMPKIN,13.64
2018-05-15,Dambulla,PUMPKIN,15.2125
2018-06-15,Dambulla,PUMPKIN,17.95
2018-07-15,Dambulla,PUMPKIN,45.68
2018-08-15,Dambulla,PUMPKIN,58.25
2018-09-15,Dambulla,PUMPKIN,34.4
2018-10-15,Dambulla,PUMPKIN,34.84
2018-11-15,Dambulla,PUMPKIN,44.25
2018-12-15,Dambulla,PUMPKIN,26.160000000000004
2019-01-15,Dambulla,PUMPKIN,13.349999999999998
2019-02-15,Dambulla,PUMPKIN,15.1
2019-03-15,Dambulla,PUMPKIN,10.7
2019-04-15,Dambulla,PUMPKIN,21.160000000000004
2019-05-15,Dambulla,PUMPKIN,54.75
2019-06-15,Dambulla,PUMPKIN,93.0
2019-07-15,Dambulla,PUMPKIN,84.1
2019-08-15,Dambulla,PUMPKIN,36.15
2019-09-15,Dambulla,PUMPKIN,46.6
2019-10-15,Dambulla,PUMPKIN,68.25
2019-11-15,Dambulla,PUMPKIN,34.0
2019-12-15,Dambulla,PUMPKIN,35.160000000000004
2020-01-15,Dambulla,PUMPKIN,70.25
2020-02-15,Dambulla,PUMPKIN,123.75
2020-03-15,Dambulla,PUMPKIN,74.5
2020-05-15,Dambulla,PUMPKIN,29.53333333333333
2020-06-15,Dambulla,PUMPKIN,31.48
2020-07-15,Dambulla,PUMPKIN,38.35
2020-08-15,Dambulla,PUMPKIN,88.8
2020-09-15,Dambulla,PUMPKIN,91.5
2020-10-15,Dambulla,PUMPKIN,34.45
2020-11-15,Dambulla,PUMPKIN,57.333333333333336
2020-12-15,Dambulla,PUMPKIN,71.0
2021-01-15,Dambulla,PUMPKIN,131.75
2021-02-15,Dambulla,PUMPKIN,103.5
2021-03-15,Dambulla,PUMPKIN,71.0
2021-04-15,Dambulla,PUMPKIN,40.6
2021-06-15,Dambulla,PUMPKIN,71.0
2021-07-15,Dambulla,PUMPKIN,86.75
2021-08-15,Dambulla,PUMPKIN,90.25
2021-09-15,Dambulla,PUMPKIN,48.475
2021-10-15,Dambulla,PUMPKIN,37.5
2021-11-15,Dambulla,PUMPKIN,38.28
2021-12-15,Dambulla,PUMPKIN,44.25
2022-01-15,Dambulla,PUMPKIN,109.2
2022-02-15,Dambulla,PUMPKIN,151.5
2022-03-15,Dambulla,PUMPKIN,77.0
2022-04-15,Dambulla,PUMPKIN,48.25
2022-05-15,Dambulla,PUMPKIN,84.8
2022-06-15,Dambulla,PUMPKIN,150.0
2022-07-15,Dambulla,PUMPKIN,165.25
2022-08-15,Dambulla,PUMPKIN,118.8
2022-09-15,Dambulla,PUMPKIN,142.0
2022-10-15,Dambulla,PUMPKIN,151.0
2022-11-15,Dambulla,PUMPKIN,88.75
2022-12-15,Dambulla,PUMPKIN,85.5
2023-01-15,Dambulla,PUMPKIN,97.2
2023-02-15,Dambulla,PUMPKIN,56.25
2023-03-15,Dambulla,PUMPKIN,44.75
2023-04-15,Dambulla,PUMPKIN,29.1
2023-05-15,Dambulla,PUMPKIN,55.2
2023-06-15,Dambulla,PUMPKIN,88.25
2023-07-15,Dambulla,PUMPKIN,92.6
2023-08-15,Dambulla,PUMPKIN,78.5
2023-09-15,Dambulla,PUMPKIN,46.6
2023-10-15,Dambulla,PUMPKIN,39.36
2023-11-15,Dambulla,PUMPKIN,81.25
2023-12-15,Dambulla,PUMPKIN,128.75
2024-01-15,Dambulla,PUMPKIN,131.6
2024-02-15,Dambulla,PUMPKIN,232.5
2024-03-15,Dambulla,PUMPKIN,164.0
2024-04-15,Dambulla,PUMPKIN,84.0
2024-05-15,Dambulla,PUMPKIN,57.25
2024-06-15,Dambulla,PUMPKIN,127.0
2024-07-15,Dambulla,PUMPKIN,137.2
2024-08-15,Dambulla,PUMPKIN,88.75
2024-09-15,Dambulla,PUMPKIN,43.6
2024-10-15,Dambulla,PUMPKIN,89.5
2024-11-15,Dambulla,PUMPKIN,92.5
2024-12-15,Dambulla,PUMPKIN,130.0
2000-01-15,Dambulla,TOMATOES,12.83
2000-02-15,Dambulla,TOMATOES,11.0
2000-03-15,Dambulla,TOMATOES,27.13
2000-04-15,Dambulla,TOMATOES,18.33
2000-05-15,Dambulla,TOMATOES,25.3
2000-06-15,Dambulla,TOMATOES,31.5
2000-07-15,Dambulla,TOMATOES,26.88
2000-08-15,Dambulla,TOMATOES,13.75
2000-09-15,Dambulla,TOMATOES,11.69
2000-10-15,Dambulla,TOMATOES,13.1
2000-11-15,Dambulla,TOMATOES,15.56
2000-12-15,Dambulla,TOMATOES,20.25
2001-01-15,Dambulla,TOMATOES,40.17
2001-02-15,Dambulla,TOMATOES,31.42
2001-03-15,Dambulla,TOMATOES,46.42
2001-04-15,Dambulla,TOMATOES,19.38
2001-05-15,Dambulla,TOMATOES,50.56
2001-06-15,Dambulla,TOMATOES,35.0
2001-07-15,Dambulla,TOMATOES,29.94
2001-08-15,Dambulla,TOMATOES,12.5
2001-09-15,Dambulla,TOMATOES,19.63
2001-10-15,Dambulla,TOMATOES,26.17
2001-11-15,Dambulla,TOMATOES,30.38
2001-12-15,Dambulla,TOMATOES,27.0
2002-01-15,Dambulla,TOMATOES,8.75
2002-02-15,Dambulla,TOMATOES,21.75
2002-03-15,Dambulla,TOMATOES,35.13
2002-04-15,Dambulla,TOMATOES,26.49
2002-05-15,Dambulla,TOMATOES,27.0
2002-06-15,Dambulla,TOMATOES,40.31
2002-07-15,Dambulla,TOMATOES,33.08
2002-08-15,Dambulla,TOMATOES,33.5
2002-09-15,Dambulla,TOMATOES,18.65
2002-10-15,Dambulla,TOMATOES,12.35
2002-11-15,Dambulla,TOMATOES,30.0
2002-12-15,Dambulla,TOMATOES,41.25
2003-01-15,Dambulla,TOMATOES,35.17
2003-02-15,Dambulla,TOMATOES,25.08
2003-03-15,Dambulla,TOMATOES,18.75
2003-04-15,Dambulla,TOMATOES,26.25
2003-05-15,Dambulla,TOMATOES,29.0
2003-06-15,Dambulla,TOMATOES,20.88
2003-07-15,Dambulla,TOMATOES,29.0
2003-08-15,Dambulla,TOMATOES,10.9
2003-09-15,Dambulla,TOMATOES,27.14
2003-10-15,Dambulla,TOMATOES,22.4
2003-11-15,Dambulla,TOMATOES,28.45
2003-12-15,Dambulla,TOMATOES,27.82
2004-01-15,Dambulla,TOMATOES,15.0
2004-02-15,Dambulla,TOMATOES,13.9
2004-03-15,Dambulla,TOMATOES,16.24
2004-04-15,Dambulla,TOMATOES,24.72
2004-05-15,Dambulla,TOMATOES,33.2
2004-06-15,Dambulla,TOMATOES,42.7
2004-07-15,Dambulla,TOMATOES,27.45
2004-08-15,Dambulla,TOMATOES,9.56
2004-09-15,Dambulla,TOMATOES,14.25
2004-10-15,Dambulla,TOMATOES,25.845
2004-11-15,Dambulla,TOMATOES,37.44
2004-12-15,Dambulla,TOMATOES,29.1
2005-01-15,Dambulla,TOMATOES,34.0
2005-02-15,Dambulla,TOMATOES,47.6
2005-04-15,Dambulla,TOMATOES,27.9
2005-05-15,Dambulla,TOMATOES,37.96
2005-06-15,Dambulla,TOMATOES,13.5
2005-07-15,Dambulla,TOMATOES,30.25
2005-08-15,Dambulla,TOMATOES,23.27
2005-09-15,Dambulla,TOMATOES,33.8
2005-10-15,Dambulla,TOMATOES,30.35
2005-11-15,Dambulla,TOMATOES,16.68
2005-12-15,Dambulla,TOMATOES,29.47
2006-01-15,Dambulla,TOMATOES,20.93
2006-02-15,Dambulla,TOMATOES,16.2
2006-03-15,Dambulla,TOMATOES,12.6
2006-04-15,Dambulla,TOMATOES,16.9
2006-05-15,Dambulla,TOMATOES,44.72
2006-06-15,Dambulla,TOMATOES,59.53
2006-07-15,Dambulla,TOMATOES,59.45
2006-08-15,Dambulla,TOMATOES,13.3
2006-09-15,Dambulla,TOMATOES,14.45
2006-10-15,Dambulla,TOMATOES,23.32
2006-11-15,Dambulla,TOMATOES,51.05
2006-12-15,Dambulla,TOMATOES,83.25
2007-01-15,Dambulla,TOMATOES,44.15
2007-02-15,Dambulla,TOMATOES,34.05
2007-03-15,Dambulla,TOMATOES,27.13
2007-04-15,Dambulla,TOMATOES,16.33
2007-05-15,Dambulla,TOMATOES,15.5
2007-06-15,Dambulla,TOMATOES,24.0
2007-07-15,Dambulla,TOMATOES,40.25
2007-08-15,Dambulla,TOMATOES,25.95
2007-09-15,Dambulla,TOMATOES,46.24
2007-10-15,Dambulla,TOMATOES,41.4
2007-11-15,Dambulla,TOMATOES,26.67
2007-12-15,Dambulla,TOMATOES,12.56
2008-01-15,Dambulla,TOMATOES,22.4
2008-02-15,Dambulla,TOMATOES,69.35
2008-03-15,Dambulla,TOMATOES,50.2
2008-04-15,Dambulla,TOMATOES,46.47
2008-05-15,Dambulla,TOMATOES,93.85
2008-06-15,Dambulla,TOMATOES,51.2
2008-07-15,Dambulla,TOMATOES,35.47
2008-08-15,Dambulla,TOMATOES,15.7
2008-09-15,Dambulla,TOMATOES,13.62
2008-10-15,Dambulla,TOMATOES,24.95
2008-11-15,Dambulla,TOMATOES,57.47
2008-12-15,Dambulla,TOMATOES,79.15
2009-01-15,Dambulla,TOMATOES,67.9
2009-02-15,Dambulla,TOMATOES,28.35
2009-03-15,Dambulla,TOMATOES,13.76
2009-04-15,Dambulla,TOMATOES,17.7
2009-05-15,Dambulla,TOMATOES,50.4
2009-06-15,Dambulla,TOMATOES,62.76
2009-07-15,Dambulla,TOMATOES,59.45
2009-08-15,Dambulla,TOMATOES,37.67
2009-09-15,Dambulla,TOMATOES,31.8
2009-10-15,Dambulla,TOMATOES,28.93
2009-11-15,Dambulla,TOMATOES,21.48
2009-12-15,Dambulla,TOMATOES,54.75
2010-01-15,Dambulla,TOMATOES,59.65
2010-02-15,Dambulla,TOMATOES,62.87
2010-03-15,Dambulla,TOMATOES,31.04
2010-04-15,Dambulla,TOMATOES,18.6
2010-05-15,Dambulla,TOMATOES,49.9
2010-06-15,Dambulla,TOMATOES,84.53
2010-07-15,Dambulla,TOMATOES,39.25
2010-08-15,Dambulla,TOMATOES,38.8
2010-09-15,Dambulla,TOMATOES,52.75
2010-10-15,Dambulla,TOMATOES,51.65
2010-11-15,Dambulla,TOMATOES,53.6
2010-12-15,Dambulla,TOMATOES,50.85
2011-01-15,Dambulla,TOMATOES,42.58
2011-02-15,Dambulla,TOMATOES,114.75
2011-03-15,Dambulla,TOMATOES,133.53
2011-04-15,Dambulla,TOMATOES,42.4
2011-05-15,Dambulla,TOMATOES,38.44
2011-06-15,Dambulla,TOMATOES,14.9
2011-07-15,Dambulla,TOMATOES,19.05
2011-08-15,Dambulla,TOMATOES,19.56
2011-09-15,Dambulla,TOMATOES,30.35
2011-10-15,Dambulla,TOMATOES,39.64
2011-11-15,Dambulla,TOMATOES,92.25
2011-12-15,Dambulla,TOMATOES,143.25
2012-01-15,Dambulla,TOMATOES,73.36
2012-02-15,Dambulla,TOMATOES,12.9
2012-03-15,Dambulla,TOMATOES,11.33
2012-04-15,Dambulla,TOMATOES,36.65
2012-05-15,Dambulla,TOMATOES,108.67
2012-06-15,Dambulla,TOMATOES,87.0
2012-07-15,Dambulla,TOMATOES,109.6
2012-08-15,Dambulla,TOMATOES,40.05
2012-09-15,Dambulla,TOMATOES,33.0
2012-10-15,Dambulla,TOMATOES,19.24
2012-11-15,Dambulla,TOMATOES,50.4
2012-12-15,Dambulla,TOMATOES,75.0
2013-01-15,Dambulla,TOMATOES,59.75
2013-02-15,Dambulla,TOMATOES,93.4
2013-03-15,Dambulla,TOMATOES,40.6
2013-04-15,Dambulla,TOMATOES,33.25
2013-05-15,Dambulla,TOMATOES,59.87
2013-06-15,Dambulla,TOMATOES,70.0
2013-07-15,Dambulla,TOMATOES,65.92
2013-08-15,Dambulla,TOMATOES,33.85
2013-09-15,Dambulla,TOMATOES,56.64
2013-10-15,Dambulla,TOMATOES,68.75
2013-11-15,Dambulla,TOMATOES,24.8
2013-12-15,Dambulla,TOMATOES,24.68
2014-01-15,Dambulla,TOMATOES,26.85
2014-02-15,Dambulla,TOMATOES,36.15
2014-03-15,Dambulla,TOMATOES,28.96
2014-04-15,Dambulla,TOMATOES,21.8
2014-05-15,Dambulla,TOMATOES,99.0
2014-06-15,Dambulla,TOMATOES,120.8
2014-07-15,Dambulla,TOMATOES,110.5
2014-08-15,Dambulla,TOMATOES,32.65
2014-09-15,Dambulla,TOMATOES,20.96
2014-10-15,Dambulla,TOMATOES,63.75
2014-11-15,Dambulla,TOMATOES,102.0
2014-12-15,Dambulla,TOMATOES,134.6
2015-01-15,Dambulla,TOMATOES,115.5
2015-02-15,Dambulla,TOMATOES,195.0
2015-03-15,Dambulla,TOMATOES,46.32
2015-04-15,Dambulla,TOMATOES,21.9
2015-05-15,Dambulla,TOMATOES,34.85
2015-06-15,Dambulla,TOMATOES,39.32
2015-07-15,Dambulla,TOMATOES,69.5
2015-08-15,Dambulla,TOMATOES,44.0
2015-09-15,Dambulla,TOMATOES,44.7
2015-10-15,Dambulla,TOMATOES,61.6
2015-11-15,Dambulla,TOMATOES,101.4
2015-12-15,Dambulla,TOMATOES,109.25
2016-01-15,Dambulla,TOMATOES,32.9
2016-02-15,Dambulla,TOMATOES,32.3
2016-03-15,Dambulla,TOMATOES,32.55
2016-04-15,Dambulla,TOMATOES,74.1
2016-05-15,Dambulla,TOMATOES,118.6
2016-06-15,Dambulla,TOMATOES,147.75
2016-07-15,Dambulla,TOMATOES,114.25
2016-08-15,Dambulla,TOMATOES,26.96
2016-09-15,Dambulla,TOMATOES,39.25
2016-10-15,Dambulla,TOMATOES,41.32
2016-11-15,Dambulla,TOMATOES,25.7
2016-12-15,Dambulla,TOMATOES,36.5
2017-01-15,Dambulla,TOMATOES,75.12
2017-02-15,Dambulla,TOMATOES,33.8
2017-03-15,Dambulla,TOMATOES,65.75
2017-04-15,Dambulla,TOMATOES,62.8
2017-05-15,Dambulla,TOMATOES,63.0
2017-06-15,Dambulla,TOMATOES,93.75
2017-07-15,Dambulla,TOMATOES,85.0
2017-08-15,Dambulla,TOMATOES,92.0
2017-09-15,Dambulla,TOMATOES,111.5
2017-10-15,Dambulla,TOMATOES,110.8
2017-11-15,Dambulla,TOMATOES,65.25
2017-12-15,Dambulla,TOMATOES,74.9
2018-01-15,Dambulla,TOMATOES,42.92
2018-02-15,Dambulla,TOMATOES,30.75
2018-03-15,Dambulla,TOMATOES,25.75
2018-04-15,Dambulla,TOMATOES,21.4
2018-05-15,Dambulla,TOMATOES,87.0
2018-06-15,Dambulla,TOMATOES,147.5
2018-07-15,Dambulla,TOMATOES,119.2
2018-08-15,Dambulla,TOMATOES,39.65
2018-09-15,Dambulla,TOMATOES,17.0
2018-10-15,Dambulla,TOMATOES,59.44
2018-11-15,Dambulla,TOMATOES,211.5
2018-12-15,Dambulla,TOMATOES,157.4
2019-01-15,Dambulla,TOMATOES,55.75
2019-02-15,Dambulla,TOMATOES,33.2
2019-03-15,Dambulla,TOMATOES,28.4
2019-04-15,Dambulla,TOMATOES,50.88
2019-05-15,Dambulla,TOMATOES,71.5
2019-06-15,Dambulla,TOMATOES,31.1
2019-07-15,Dambulla,TOMATOES,52.4
2019-08-15,Dambulla,TOMATOES,75.75
2019-09-15,Dambulla,TOMATOES,80.28
2019-10-15,Dambulla,TOMATOES,87.5625
2019-11-15,Dambulla,TOMATOES,44.0
2019-12-15,Dambulla,TOMATOES,102.8
2020-01-15,Dambulla,TOMATOES,270.5
2020-02-15,Dambulla,TOMATOES,213.0
2020-03-15,Dambulla,TOMATOES,91.0
2020-05-15,Dambulla,TOMATOES,53.8
2020-06-15,Dambulla,TOMATOES,124.2
2020-07-15,Dambulla,TOMATOES,54.15
2020-08-15,Dambulla,TOMATOES,44.4
2020-09-15,Dambulla,TOMATOES,118.75
2020-10-15,Dambulla,TOMATOES,57.9
2020-11-15,Dambulla,TOMATOES,56.8
2020-12-15,Dambulla,TOMATOES,57.8
2021-01-15,Dambulla,TOMATOES,96.75
2021-02-15,Dambulla,TOMATOES,159.0
2021-03-15,Dambulla,TOMATOES,106.25
2021-04-15,Dambulla,TOMATOES,57.85
2021-06-15,Dambulla,TOMATOES,77.5
2021-07-15,Dambulla,TOMATOES,56.6
2021-08-15,Dambulla,TOMATOES,77.75
2021-09-15,Dambulla,TOMATOES,67.75
