Date,Location,Variety,Price,Year,Month,Quarter,Day_of_year,Season,Is_Yala,Is_Maha,Price_lag1,Price_lag2,Price_lag3,Price_lag6,Price_lag12,Rolling_Mean_3,Rolling_Mean_6,Rolling_Mean_12,Rolling_Std_3,Rolling_Std_6,Price_vs_3MA,Price_vs_6MA,Price_Change_1m,Price_Change_3m,YoY_Price,YoY_Change,YoY_Change_Pct
2001-11-15,Dambulla,BITTER GOURD,28.25,2001,11,4,319,Intermediate2,0,0,27.58,22.5,19.25,24.94,29.33,26.11,25.808333333333334,25.08583333333333,3.1442487178974785,3.9858119206338176,2.1400000000000006,2.4416666666666664,0.024292965917331433,0.46753246753246747,29.33,-1.0799999999999983,-3.6822366177974715
2001-12-15,Dambulla,BITTER GOURD,22.75,2001,12,4,349,Yala,1,0,28.25,27.58,22.5,29.08,31.25,26.19333333333333,24.753333333333334,24.377499999999998,3.0007721228599262,3.779019273127174,-3.4433333333333316,-2.003333333333334,-0.19469026548672563,0.011111111111111072,31.25,-8.5,-27.200000000000003
2002-01-15,Dambulla,BITTER GOURD,10.25,2002,1,1,15,Yala,1,0,22.75,28.25,27.58,28.19,24.08,20.416666666666668,21.763333333333335,23.224999999999998,9.224062734681134,6.57723852894713,-10.166666666666668,-11.513333333333335,-0.5494505494505495,-0.6283538796229151,24.08,-13.829999999999998,-57.43355481727575
2002-02-15,Dambulla,BITTER GOURD,14.25,2002,2,1,46,Yala,1,0,10.25,22.75,28.25,19.25,19.53,15.75,20.93,22.785,6.383572667401835,7.242471953690945,-1.5,-6.68,0.3902439024390243,-0.49557522123893805,19.53,-5.280000000000001,-27.03533026113672
2002-03-15,Dambulla,BITTER GOURD,21.25,2002,3,1,74,Maha,0,1,14.25,10.25,22.75,22.5,26.75,15.25,20.721666666666668,22.326666666666668,5.567764362830002,7.206165184525442,6.0,0.5283333333333324,0.49122807017543857,-0.06593406593406592,26.75,-5.5,-20.5607476635514
2002-04-15,Dambulla,BITTER GOURD,19.5,2002,4,2,105,Maha,0,1,21.25,14.25,10.25,27.58,19.63,18.333333333333332,19.375,22.315833333333334,3.6429154990657078,6.375245093327781,1.1666666666666679,0.125,-0.08235294117647063,0.9024390243902438,19.63,-0.129999999999999,-0.662251655629134
2002-05-15,Dambulla,BITTER GOURD,34.25,2002,5,2,135,Maha,0,1,19.5,21.25,14.25,28.25,24.94,25.0,20.375,23.09166666666667,8.058380730643094,8.242799888387436,9.25,13.875,0.7564102564102564,1.4035087719298245,24.94,9.309999999999999,37.329591018444255
2002-06-15,Dambulla,BITTER GOURD,33.94,2002,6,2,166,Intermediate1,0,0,34.25,19.5,21.25,22.75,29.08,29.23,22.24,23.49666666666667,8.427852632788495,9.972141194347376,4.709999999999997,11.7,-0.009051094890511036,0.5971764705882352,29.08,4.859999999999999,16.71251719394773
2002-07-15,Dambulla,BITTER GOURD,28.75,2002,7,3,196,Intermediate1,0,0,33.94,34.25,19.5,10.25,28.19,32.31333333333333,25.323333333333334,23.543333333333333,3.089827395394984,8.231601707241829,-3.5633333333333326,3.426666666666666,-0.1529169121979964,0.47435897435897445,28.19,0.5599999999999987,1.9865200425682819
2002-08-15,Dambulla,BITTER GOURD,29.38,2002,8,3,227,Intermediate1,0,0,28.75,33.94,34.25,14.25,19.25,30.689999999999998,27.845,24.3875,2.832154656794007,6.236687422021401,-1.3099999999999987,1.5350000000000001,0.02191304347826084,-0.14218978102189783,19.25,10.129999999999999,52.623376623376615
2002-09-15,Dambulla,BITTER GOURD,23.7,2002,9,3,258,Intermediate2,0,0,29.38,28.75,33.94,21.25,22.5,27.276666666666667,28.25333333333333,24.487499999999997,3.113460025973231,5.782178366901753,-3.576666666666668,-4.553333333333331,-0.1933287950987066,-0.3017088980553918,22.5,1.1999999999999993,5.33333333333333
