iter	RMSE
0	48.09344817
1	47.88097026
2	47.66791608
3	47.44140942
4	47.22353703
5	47.00378373
6	46.78816542
7	46.57244175
8	46.36404068
9	46.15143358
10	45.93730006
11	45.72006665
12	45.50531551
13	45.30448163
14	45.09299018
15	44.90724188
16	44.69997879
17	44.49401526
18	44.29006245
19	44.09249728
20	43.89538663
21	43.6991328
22	43.49677277
23	43.29724589
24	43.10581713
25	42.9173618
26	42.73653677
27	42.55635872
28	42.38738733
29	42.2025632
30	42.0202248
31	41.85214044
32	41.68492238
33	41.50671787
34	41.32978516
35	41.14514637
36	40.96023883
37	40.78782057
38	40.62610653
39	40.44771138
40	40.28048537
41	40.11070089
42	39.94619303
43	39.78788298
44	39.61737589
45	39.44582889
46	39.28308025
47	39.1221883
48	38.96875297
49	38.80733751
50	38.64310684
51	38.49661164
52	38.34225124
53	38.18320501
54	38.03453263
55	37.88110229
56	37.73083482
57	37.58327998
58	37.42613215
59	37.28571655
60	37.13616241
61	36.98340596
62	36.84539305
63	36.6953085
64	36.56636569
65	36.4148024
66	36.27640397
67	36.15037872
68	36.0149978
69	35.86736795
70	35.72962703
71	35.59424419
72	35.47032442
73	35.33019653
74	35.19774229
75	35.07136305
76	34.92863448
77	34.80162783
78	34.66473765
79	34.52978473
80	34.39815703
81	34.26206596
82	34.14415623
83	34.01516818
84	33.89049703
85	33.77463684
86	33.65721067
87	33.52789944
88	33.40870473
89	33.28377381
90	33.16449837
91	33.04483678
92	32.92430595
93	32.81277389
94	32.70432315
95	32.58209733
96	32.4648653
97	32.35594849
98	32.23674596
99	32.1254377
100	32.01828083
101	31.91201814
102	31.79430816
103	31.6904742
104	31.59260175
105	31.4837777
106	31.38128527
107	31.27041496
108	31.16463629
109	31.05292964
110	30.95859095
111	30.85692812
112	30.75699777
113	30.65140653
114	30.55260065
115	30.45110304
116	30.35319055
117	30.26243657
118	30.1590648
119	30.05862545
120	29.96211127
121	29.87437883
122	29.77465841
123	29.68434245
124	29.58776521
125	29.49197331
126	29.39729966
127	29.30093714
128	29.20791731
129	29.11264026
130	29.02836939
131	28.9340763
132	28.84449858
133	28.75621625
134	28.66916258
135	28.57986766
136	28.49576721
137	28.41764104
138	28.34631816
139	28.25992727
140	28.1747503
141	28.10261204
142	28.02662189
143	27.94817458
144	27.86551027
145	27.79657324
146	27.71237914
147	27.63128217
148	27.54892216
149	27.47174384
150	27.3930877
151	27.31730471
152	27.24510721
153	27.16924897
154	27.09698232
155	27.0212112
156	26.94610578
157	26.87685208
158	26.80961257
159	26.73493994
160	26.65941622
161	26.5919709
162	26.52089775
163	26.45077323
164	26.37863458
165	26.30995269
166	26.24955029
167	26.17978807
168	26.1221763
169	26.05270263
170	25.98504488
171	25.91703701
172	25.85296086
173	25.78692098
174	25.72649744
175	25.66410519
176	25.59765046
177	25.5341133
178	25.47083225
179	25.40642492
180	25.34628772
181	25.28270286
182	25.22122714
183	25.15906142
184	25.09697468
185	25.04275134
186	24.98196499
187	24.92296785
188	24.86475191
189	24.80694264
190	24.75018627
191	24.69816042
192	24.64084932
193	24.58472917
194	24.52782224
195	24.47599959
196	24.42060333
197	24.36578934
198	24.3118873
199	24.27550646
200	24.22578124
201	24.17326981
202	24.12657801
203	24.07440895
204	24.02164064
205	23.97132279
206	23.92011309
207	23.87402983
208	23.82913279
209	23.78750923
210	23.74089082
211	23.6908861
212	23.64984712
213	23.60531765
214	23.55809824
215	23.51300157
216	23.46499437
217	23.41670787
218	23.36925866
219	23.32515729
220	23.28183127
221	23.23576435
222	23.19162757
223	23.15796224
224	23.11329465
225	23.06960392
226	23.02518235
227	22.98319248
228	22.9400162
229	22.89922855
230	22.85751914
231	22.81496318
232	22.77279991
233	22.73583643
234	22.69628862
235	22.65529078
236	22.61472779
237	22.57432145
238	22.53731965
239	22.49897693
240	22.46163208
241	22.42327881
242	22.38573157
243	22.34783173
244	22.31565779
245	22.27720627
246	22.24278523
247	22.20801193
248	22.17547342
249	22.1410105
250	22.10695773
251	22.07060172
252	22.03640089
253	22.00464134
254	21.97021566
255	21.93922845
256	21.90633628
257	21.87245147
258	21.83811275
259	21.80568599
260	21.77259489
261	21.7391373
262	21.70968444
263	21.67765267
264	21.64498313
265	21.61346135
266	21.58289622
267	21.5544473
268	21.52455878
269	21.49338105
270	21.46265808
271	21.43561891
272	21.40537618
273	21.37482455
274	21.34477506
275	21.31554357
276	21.28579306
277	21.25648663
278	21.22746915
279	21.20226251
280	21.17496817
281	21.14780237
282	21.11951321
283	21.09219585
284	21.06419402
285	21.03655877
286	21.0091498
287	20.98143394
288	20.95447367
289	20.92727784
290	20.90630184
291	20.88197885
292	20.85987512
293	20.8333086
294	20.80809603
295	20.78904696
296	20.76443107
297	20.74024757
298	20.71614041
299	20.69063712
300	20.66577123
301	20.6457881
302	20.62210521
303	20.59742666
304	20.57331514
305	20.55072964
306	20.52704549
307	20.50589957
308	20.48238166
309	20.45978823
310	20.43726004
311	20.41785222
312	20.39772187
313	20.37984717
314	20.35863433
315	20.33875696
316	20.31769903
317	20.29608581
318	20.27501301
319	20.2545424
320	20.23282921
321	20.21222585
322	20.19543126
323	20.17656649
324	20.1573876
325	20.13709001
326	20.12083875
327	20.10052459
328	20.08099149
329	20.06146456
330	20.04231062
331	20.02399616
332	20.01305776
333	19.99698087
334	19.97958766
335	19.96236848
