Vegetable_Name,Week_Start,ISO_Year,ISO_Week,Is_Train,Time_Index
Bitter Gourd,2012-05-28,2012,22,True,126
Bitter Gourd,2012-06-04,2012,23,True,127
Bitter Gourd,2012-06-11,2012,24,True,128
Bitter Gourd,2012-06-18,2012,25,True,129
Bitter Gourd,2012-06-25,2012,26,True,130
Bitter Gourd,2012-07-02,2012,27,True,131
Bitter Gourd,2012-07-09,2012,28,True,132
Bitter Gourd,2012-07-16,2012,29,True,133
Bitter Gourd,2012-07-23,2012,30,True,134
Bitter Gourd,2012-07-30,2012,31,True,135
Bitter Gourd,2012-08-06,2012,32,True,136
Bitter Gourd,2012-08-13,2012,33,True,137
Bitter Gourd,2012-08-20,2012,34,True,138
Bitter Gourd,2012-08-27,2012,35,True,139
Bitter Gourd,2012-09-03,2012,36,True,140
Bitter Gourd,2012-09-10,2012,37,True,141
Bitter Gourd,2012-09-17,2012,38,True,142
Bitter Gourd,2012-09-24,2012,39,True,143
Bitter Gourd,2012-10-01,2012,40,True,144
Bitter Gourd,2012-10-08,2012,41,True,145
Bitter Gourd,2012-10-15,2012,42,True,146
Bitter Gourd,2012-10-22,2012,43,True,147
Bitter Gourd,2012-10-29,2012,44,True,148
Bitter Gourd,2012-11-05,2012,45,True,149
Bitter Gourd,2012-11-12,2012,46,True,150
Bitter Gourd,2012-11-19,2012,47,True,151
Bitter Gourd,2012-11-26,2012,48,True,152
Bitter Gourd,2012-12-03,2012,49,True,153
Bitter Gourd,2012-12-10,2012,50,True,154
Bitter Gourd,2012-12-17,2012,51,True,155
Bitter Gourd,2012-12-24,2012,52,True,156
Bitter Gourd,2012-12-31,2013,1,True,157
Bitter Gourd,2013-01-07,2013,2,True,158
Bitter Gourd,2013-01-14,2013,3,True,159
Bitter Gourd,2013-01-21,2013,4,True,160
Bitter Gourd,2013-01-28,2013,5,True,161
Bitter Gourd,2013-02-04,2013,6,True,162
Bitter Gourd,2013-02-11,2013,7,True,163
Bitter Gourd,2013-02-18,2013,8,True,164
Bitter Gourd,2013-02-25,2013,9,True,165
Bitter Gourd,2013-03-04,2013,10,True,166
Bitter Gourd,2013-03-11,2013,11,True,167
Bitter Gourd,2013-03-18,2013,12,True,168
Bitter Gourd,2013-03-25,2013,13,True,169
Bitter Gourd,2013-04-01,2013,14,True,170
Bitter Gourd,2013-04-08,2013,15,True,171
Bitter Gourd,2013-04-15,2013,16,True,172
Bitter Gourd,2013-04-22,2013,17,True,173
Bitter Gourd,2013-04-29,2013,18,True,174
Bitter Gourd,2013-05-06,2013,19,True,175
Bitter Gourd,2013-05-13,2013,20,True,176
Bitter Gourd,2013-05-20,2013,21,True,177
Bitter Gourd,2013-05-27,2013,22,True,178
Bitter Gourd,2013-06-03,2013,23,True,179
Bitter Gourd,2013-06-10,2013,24,True,180
Bitter Gourd,2013-06-17,2013,25,True,181
Bitter Gourd,2013-06-24,2013,26,True,182
Bitter Gourd,2013-07-01,2013,27,True,183
Bitter Gourd,2013-07-08,2013,28,True,184
Bitter Gourd,2013-07-15,2013,29,True,185
Bitter Gourd,2013-07-22,2013,30,True,186
Bitter Gourd,2013-07-29,2013,31,True,187
Bitter Gourd,2013-08-05,2013,32,True,188
Bitter Gourd,2013-08-12,2013,33,True,189
Bitter Gourd,2013-08-19,2013,34,True,190
Bitter Gourd,2013-08-26,2013,35,True,191
Bitter Gourd,2013-09-02,2013,36,True,192
Bitter Gourd,2013-09-09,2013,37,True,193
Bitter Gourd,2013-09-16,2013,38,True,194
Bitter Gourd,2013-09-23,2013,39,True,195
Bitter Gourd,2013-09-30,2013,40,True,196
Bitter Gourd,2013-10-07,2013,41,True,197
Bitter Gourd,2013-10-14,2013,42,True,198
Bitter Gourd,2013-10-21,2013,43,True,199
Bitter Gourd,2013-10-28,2013,44,True,200
Bitter Gourd,2013-11-04,2013,45,True,201
Bitter Gourd,2013-11-11,2013,46,True,202
Bitter Gourd,2013-11-18,2013,47,True,203
Bitter Gourd,2013-11-25,2013,48,True,204
Bitter Gourd,2013-12-02,2013,49,True,205
Bitter Gourd,2013-12-09,2013,50,True,206
Bitter Gourd,2013-12-16,2013,51,True,207
Bitter Gourd,2013-12-23,2013,52,True,208
Bitter Gourd,2013-12-30,2014,1,True,209
Bitter Gourd,2014-01-06,2014,2,True,210
Bitter Gourd,2014-01-13,2014,3,True,211
Bitter Gourd,2014-01-20,2014,4,True,212
Bitter Gourd,2014-01-27,2014,5,True,213
Bitter Gourd,2014-02-03,2014,6,True,214
Bitter Gourd,2014-02-10,2014,7,True,215
Bitter Gourd,2014-02-17,2014,8,True,216
Bitter Gourd,2014-02-24,2014,9,True,217
Bitter Gourd,2014-03-03,2014,10,True,218
Bitter Gourd,2014-03-10,2014,11,True,219
Bitter Gourd,2014-03-17,2014,12,True,220
Bitter Gourd,2014-03-24,2014,13,True,221
Bitter Gourd,2014-03-31,2014,14,True,222
Bitter Gourd,2014-04-07,2014,15,True,223
Bitter Gourd,2014-04-14,2014,16,True,224
Bitter Gourd,2014-04-21,2014,17,True,225
Bitter Gourd,2014-04-28,2014,18,True,226
Bitter Gourd,2014-05-05,2014,19,True,227
Bitter Gourd,2014-05-12,2014,20,True,228
Bitter Gourd,2014-05-19,2014,21,True,229
Bitter Gourd,2014-05-26,2014,22,True,230
Bitter Gourd,2014-06-02,2014,23,True,231
Bitter Gourd,2014-06-09,2014,24,True,232
Bitter Gourd,2014-06-16,2014,25,True,233
Bitter Gourd,2014-06-23,2014,26,True,234
Bitter Gourd,2014-06-30,2014,27,True,235
Bitter Gourd,2014-07-07,2014,28,True,236
Bitter Gourd,2014-07-14,2014,29,True,237
Bitter Gourd,2014-07-21,2014,30,True,238
Bitter Gourd,2014-07-28,2014,31,True,239
Bitter Gourd,2014-08-04,2014,32,True,240
Bitter Gourd,2014-08-11,2014,33,True,241
Bitter Gourd,2014-08-18,2014,34,True,242
Bitter Gourd,2014-08-25,2014,35,True,243
Bitter Gourd,2014-09-01,2014,36,True,244
Bitter Gourd,2014-09-08,2014,37,True,245
Bitter Gourd,2014-09-15,2014,38,True,246
Bitter Gourd,2014-09-22,2014,39,True,247
Bitter Gourd,2014-09-29,2014,40,True,248
Bitter Gourd,2014-10-06,2014,41,True,249
Bitter Gourd,2014-10-13,2014,42,True,250
Bitter Gourd,2014-10-20,2014,43,True,251
Bitter Gourd,2014-10-27,2014,44,True,252
Bitter Gourd,2014-11-03,2014,45,True,253
Bitter Gourd,2014-11-10,2014,46,True,254
Bitter Gourd,2014-11-17,2014,47,True,255
Bitter Gourd,2014-11-24,2014,48,True,256
Bitter Gourd,2014-12-01,2014,49,True,257
Bitter Gourd,2014-12-08,2014,50,True,258
Bitter Gourd,2014-12-15,2014,51,True,259
Bitter Gourd,2014-12-22,2014,52,True,260
Bitter Gourd,2014-12-29,2015,1,True,261
Bitter Gourd,2015-01-05,2015,2,True,262
Bitter Gourd,2015-01-12,2015,3,True,263
Bitter Gourd,2015-01-19,2015,4,True,264
Bitter Gourd,2015-01-26,2015,5,True,265
Bitter Gourd,2015-02-02,2015,6,True,266
Bitter Gourd,2015-02-09,2015,7,True,267
Bitter Gourd,2015-02-16,2015,8,True,268
Bitter Gourd,2015-02-23,2015,9,True,269
Bitter Gourd,2015-03-02,2015,10,True,270
Bitter Gourd,2015-03-09,2015,11,True,271
Bitter Gourd,2015-03-16,2015,12,True,272
Bitter Gourd,2015-03-23,2015,13,True,273
Bitter Gourd,2015-03-30,2015,14,True,274
Bitter Gourd,2015-04-06,2015,15,True,275
Bitter Gourd,2015-04-13,2015,16,True,276
