Week,Fuel_Price
2024-12-08 23:59:59.999999999,286.0
2025-01-05 23:59:59.999999999,286.0
2025-02-02 23:59:59.999999999,286.0
2025-04-06 23:59:59.999999999,286.0
2025-05-04 23:59:59.999999999,274.0
2025-05-11 23:59:59.999999999,274.0
2025-07-06 23:59:59.999999999,289.0
2025-09-07 23:59:59.999999999,283.0
2025-10-05 23:59:59.999999999,277.0
2025-11-02 23:59:59.999999999,277.0
