year,week,vegetable,price,Badulla_actual_class,Hambantota_actual_class,Jaffna_actual_class,Kurunegala_actual_class,Matale_actual_class,Nuwara_Eliya_actual_class,Ratnapura_actual_class,Badulla_prob_drought,Hambantota_prob_drought,Jaffna_prob_drought,Kurunegala_prob_drought,Matale_prob_drought,Nuwara_Eliya_prob_drought,Ratnapura_prob_drought,Badulla_prob_flood_risk,Hambantota_prob_flood_risk,Jaffna_prob_flood_risk,Kurunegala_prob_flood_risk,Matale_prob_flood_risk,Nuwara_Eliya_prob_flood_risk,Ratnapura_prob_flood_risk,Badulla_prob_normal,Hambantota_prob_normal,Jaffna_prob_normal,Kurunegala_prob_normal,Matale_prob_normal,Nuwara_Eliya_prob_normal,Ratnapura_prob_normal,USD_LKR_avg,RateChange_avg,week_num,year_week
2010,W1,Bitter Gourd,52.4,normal,drought,drought,normal,drought,drought,drought,0.000123318,0.9557154582175388,0.9552522986281335,0.0001249068571428,0.9689204036843498,0.9904548685770184,0.9546384599287652,0.0007081252857142,0.0007124352857142,0.0007114738571428,0.0007081184285714,0.0007059408571428,0.0007113205714285,0.0007114185714285,0.9991685567904948,0.0435721063955417,0.0440362276026354,0.9991669747978305,0.0303736554259856,0.0088338109415011,0.0446501215341007,114.4,0.0,1,201001
2010,W2,Bitter Gourd,58.6,normal,drought,drought,normal,drought,drought,drought,0.0001519602857142,0.9907157259502064,0.9877827286983236,0.0001549951428571,0.992468624897282,0.9938940935230388,0.9873677238880206,0.0193137702922341,0.0007181135714285,0.000720835,0.0007257732857142,0.0007347032857142,0.0007122664285714,0.0007280575714285,0.9805342694369038,0.0085661608011722,0.0114964361534316,0.999119231665368,0.0067966718571428,0.0053936401428571,0.0119042182955486,114.25,-0.13,2,201002
2010,W3,Bitter Gourd,58.6,normal,drought,drought,normal,drought,drought,drought,0.0001556337142857,0.993792115729212,0.9929583134492984,0.0001178115714285,0.9932703671434648,0.994469539141571,0.9928968022971932,0.000737422,0.0007042785714285,0.0007042091428571,0.0007158215714285,0.0007042158571428,0.0007045361428571,0.0007042024285714,0.999106944293272,0.0055036057142857,0.0063374771428571,0.9991663664957476,0.0060254168571428,0.0048259247142857,0.0063989954285714,114.35,0.09,3,201003
2010,W4,Bitter Gourd,58.6,normal,drought,drought,normal,drought,drought,drought,0.0001209778571428,0.9925322734651736,0.9873555725979368,0.0001127168571428,0.9942597796255096,0.994443210278136,0.9869233725709216,0.0007080764285714,0.0007040722857142,0.0007034434285714,0.0007080577142857,0.0007044718571428,0.0007046378571428,0.0007033947142857,0.9991709453923472,0.0067636541428571,0.0119409836783585,0.99917922500434,0.0050357487142857,0.0048521518571428,0.0123732329039082,114.65,0.26,4,201004
2010,W6,Bitter Gourd,50.0,drought,drought,drought,drought,drought,drought,drought,0.9945087438088308,0.9932461238019424,0.9917643030128044,0.9929228799357858,0.993021069265398,0.9938324643248198,0.9930412809051572,0.0007044637142857,0.0007042311428571,0.0007039718571428,0.00070384,0.0007040554285714,0.0007044447142857,0.000704117,0.0047867924285714,0.0060496451428571,0.0075317251428571,0.0063732802857142,0.0062748751428571,0.0054630911428571,0.0062546021428571,114.7,0.0,6,201006
2010,W7,Bitter Gourd,55.0,drought,drought,drought,drought,drought,drought,drought,0.9944129226617112,0.993667059775548,0.9861675018780108,0.994270797539591,0.9934917035206636,0.9942231292632356,0.9873909112408736,0.0007045072857142,0.0007043505714285,0.0007510642857142,0.0007044158571428,0.0007041307142857,0.0007045582857142,0.0007657001428571,0.00488257,0.0056285892857142,0.013081434,0.0050247867142857,0.0058041658571428,0.0050723121428571,0.0118433885714285,114.4,-0.26,7,201007
2010,W8,Bitter Gourd,59.2,drought,drought,drought,drought,drought,drought,drought,0.9937296759986848,0.9944002689598648,0.9942600961516752,0.9944559480182572,0.9940971810431894,0.9947178243599888,0.9944449052390408,0.0007043668571428,0.000704354,0.0007044105714285,0.0007044945714285,0.0007042972857142,0.000704631,0.0007044317142857,0.0055659571428571,0.0048953771428571,0.0050354935714285,0.004839557,0.0051985215714285,0.0045775444285714,0.0048506634285714,114.625,0.2,8,201008
2010,W9,Bitter Gourd,57.2,normal,normal,normal,normal,normal,normal,normal,0.4260114216546747,0.4259764557255452,0.4257627597297468,0.4262395175232822,0.426036271423551,0.4263302996411869,0.4258376763740322,0.0007064544285714,0.0007062581428571,0.0007064138571428,0.0007064822857142,0.0007064457142857,0.0007065794285714,0.0007064225714285,0.5732821242315553,0.5733172862008732,0.5735308261052102,0.5730539999247076,0.5732572825714285,0.5729631210292297,0.5734559009623531,114.19,-0.38,9,201009
2010,W10,Bitter Gourd,49.0,normal,normal,normal,normal,normal,normal,normal,0.000111304,0.000111304,0.000108888,0.000108888,0.000108888,0.00011372,0.000108888,0.000708058,0.000708058,0.000708058,0.000708058,0.0007099822857142,0.000708058,0.000708058,0.999180638132682,0.999180638132682,0.999183054,0.999183054,0.9991811296725592,0.999178222265364,0.999183054,113.98,-0.18,10,201010
2010,W11,Bitter Gourd,37.6,normal,normal,normal,normal,normal,normal,normal,0.000108888,0.000108888,0.0001100425714285,0.000108888,0.000108888,0.000110096,0.0001100425714285,0.000708058,0.000708058,0.000708058,0.000708058,0.000708058,0.000708058,0.000708058,0.999183054,0.999183054,0.9991818994915356,0.999183054,0.999183054,0.999181846066341,0.9991818994915356,114.05,0.06,11,201011
