price_acceleration,variety_encoded,high_volatility_regime,date,fuel_impact_ratio,year,month_sin,weekly_price_lag2,rolling_mean_4w,weekly_price_lag3,price_to_fuel_ratio,price_position_4w,vegetable,rolling_mean_13w,price_to_rolling_mean_ratio,price_deviation_from_veg_avg,rolling_std_4w,data_type,day_of_year,rolling_std_4w_scaled,rolling_mean_4w_scaled,week_number,weekly_price_lag1,price_change_lag1,price_change_pct_lag1,month,weekly_price,weekly_arrival_sum,avg_daily_arrival,weekly_sales_sum,avg_daily_sales,avg_weekly_price,weekly_supply_status,supply_demand_ratio,price_volatility,arrival_volatility,utilization_rate
4.099999999999994,1,1,2020-12-14,0.0525411776205497,2020,-2.4492935982947064e-16,112.9,114.75,119.73,1.1172115384615384,0.1258741258730254,Brinjals,121.55,1.012549019607843,-16.824299655436448,4.13,Historical,349,-0.3733058006720471,-0.1870191581461101,2,110.17,-2.730000000000004,-2.418069087688223,12,116.19,,,,,,,,,,
8.75,1,1,2020-12-21,0.157815117148815,2020,-2.4492935982947064e-16,110.17,118.63,112.9,1.300576923076923,2.828965517202358,Brinjals,122.55,1.1401837646463795,2.245700344563545,11.36,Historical,356,0.2006485682707384,-0.1524908880362095,3,116.19,6.019999999999996,5.464282472542431,12,135.26,,,,,,,,,,
13.050000000000004,1,1,2020-12-28,0.2241409706659658,2020,-2.4492935982947064e-16,116.19,132.1,110.17,1.60375,2.9994236311066325,Brinjals,126.21,1.2626040878122635,33.775700344563546,25.48,Historical,363,1.321566367644477,-0.0326208369072504,4,135.26,19.07,16.41277218349255,12,166.79,,,,,,,,,,
12.46,1,1,2021-01-04,0.2173968186616735,2021,0.4999999999999999,135.26,155.68,116.19,1.9663461538461533,2.1927681407227144,Brinjals,132.74,1.3135919835560124,71.48570034456355,38.66,Historical,4,2.367862160544327,0.177218495358589,1,166.79,31.53,23.310660949282862,1,204.5,,,,,,,,,,
6.180000000000007,1,1,2021-01-11,0.1737351890161955,2021,0.4999999999999999,166.79,187.0,135.26,2.3216346153846152,1.7964019306687191,Brinjals,141.93,1.2911764705882351,108.43570034456354,46.03,Historical,11,2.9529304453449257,0.4559363870704672,2,204.5,37.71000000000001,22.60926914083579,1,241.45,,,,,,,,,,
-0.7600000000000193,1,1,2021-01-18,0.1167226850597026,2021,0.4999999999999999,204.5,220.88,166.79,2.6034615384615383,1.5618382518567673,Brinjals,153.14,1.2258239768199928,137.74570034456357,45.11,Historical,18,2.8798961411364385,0.7574358178239293,3,241.45,36.94999999999999,18.068459657701705,1,270.76,,,,,,,,,,
-7.63999999999999,1,0,2021-01-25,0.0580985715421558,2021,0.4999999999999999,241.45,250.96,204.5,2.76076923076923,1.3795130142722716,Brinjals,165.38,1.1440867070449474,154.10570034456356,36.28,Historical,25,2.178925590961501,1.0251189015625406,4,270.76,29.31,12.139159246220752,1,287.12,,,,,,,,,,
-12.949999999999983,1,0,2021-02-01,0.0101806802837633,2021,0.8660254037844386,270.76,272.37,241.45,2.79,1.208387021200412,Brinjals,177.72,1.0653155633880385,157.14570034456358,22.31,Historical,32,1.0699155585782767,1.2156473198751625,1,287.12,16.360000000000014,6.042251440390019,2,290.16,,,,,,,,,,
-13.319999999999991,1,0,2021-02-08,-0.0300563614769282,2021,0.8660254037844386,287.12,282.28,270.76,2.702788461538461,0.9806188925065462,Brinjals,189.4,0.995784327617968,148.07570034456353,8.56,Historical,39,-0.021629748885527,1.3038367932744184,2,290.16,3.0400000000000205,1.058790749512406,2,281.09,,,,,,,,,,
-12.11000000000007,1,1,2021-02-15,-0.0682097439363139,2021,0.8660254037844386,290.16,279.88,287.12,2.511057692307692,0.3253512132812083,Brinjals,199.79,0.9330784621980848,128.13570034456353,13.04,Historical,46,0.3340155585644977,1.2824791004229337,3,281.09,-9.07000000000005,-3.1258615936035463,2,261.15,,,,,,,,,,
