,Unnamed: 0,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,CLASS
2870,2870,11090,"BROCCOLI,RAW",89.3,34,2.82,0.37,0.87,6.64,2.6,1.7,47.0,0.73,21.0,66.0,316.0,33.0,0.41,0.049,0.21,2.5,89.2,0.071,0.117,0.639,0.573,0.175,63.0,0.0,63.0,63.0,18.7,0.0,623.0,31.0,0.0,25.0,361.0,1.0,0.0,1403.0,0.78,0.0,0.0,101.6,0.039,0.011,0.038,0.0,91.0,"1 cup, chopped",608.0,1 bunch,39.0,11
2876,2876,11096,"BROCCOLI RAAB,RAW",92.55,22,3.17,0.49,0.93,2.85,2.7,0.38,108.0,2.14,22.0,73.0,196.0,33.0,0.77,0.042,0.395,1.0,20.2,0.162,0.129,1.221,0.322,0.171,83.0,0.0,83.0,83.0,18.3,0.0,2622.0,131.0,0.0,0.0,1573.0,0.0,0.0,1121.0,1.62,0.0,0.0,224.0,0.05,0.026,0.13,0.0,40.0,"1 cup, chopped",19.0,1 stalk,0.0,11
2878,2878,11098,"BRUSSELS SPROUTS,RAW",86.0,43,3.38,0.3,1.37,8.95,3.8,2.2,42.0,1.4,23.0,69.0,389.0,25.0,0.42,0.07,0.337,1.6,85.0,0.139,0.09,0.745,0.309,0.219,61.0,0.0,61.0,61.0,19.1,0.0,754.0,38.0,0.0,6.0,450.0,0.0,0.0,1590.0,0.88,0.0,0.0,177.0,0.062,0.023,0.153,0.0,88.0,1 cup,19.0,1 sprout,10.0,11
2882,2882,11104,"BURDOCK ROOT,RAW",80.09,72,1.53,0.15,0.89,17.34,3.3,2.9,41.0,0.8,38.0,51.0,308.0,5.0,0.33,0.077,0.232,0.7,3.0,0.01,0.03,0.3,0.321,0.24,23.0,0.0,23.0,23.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,1.6,0.025,0.037,0.059,0.0,118.0,"1 cup,  (1"" pieces)",156.0,1 root,25.0,11
2884,2884,11106,"BUTTERBUR,(FUKI),RAW",94.5,14,0.39,0.04,1.46,3.61,,,103.0,0.1,14.0,12.0,655.0,7.0,0.16,0.103,0.274,0.9,31.5,0.02,0.02,0.2,0.032,0.096,10.0,0.0,10.0,10.0,,0.0,50.0,3.0,0.0,,,,,,,0.0,0.0,,,,,0.0,94.0,1 cup,5.0,1 petiole,12.0,1
2887,2887,11109,"CABBAGE,RAW",92.18,25,1.28,0.1,0.64,5.8,2.5,3.2,40.0,0.47,12.0,26.0,170.0,18.0,0.18,0.019,0.16,0.3,36.6,0.061,0.04,0.234,0.212,0.124,43.0,0.0,43.0,43.0,10.7,0.0,98.0,5.0,0.0,33.0,42.0,0.0,0.0,30.0,0.15,0.0,0.0,76.0,0.034,0.017,0.017,0.0,89.0,"1 cup, chopped",70.0,"1 cup, shredded",20.0,11
2889,2889,11112,"CABBAGE,RED,RAW",90.39,31,1.43,0.16,0.64,7.37,2.1,3.83,45.0,0.8,16.0,30.0,243.0,27.0,0.22,0.017,0.243,0.6,57.0,0.064,0.069,0.418,0.147,0.209,18.0,0.0,18.0,18.0,17.1,0.0,1116.0,56.0,0.0,0.0,670.0,0.0,20.0,329.0,0.11,0.0,0.0,38.2,0.021,0.012,0.08,0.0,89.0,"1 cup, chopped",70.0,"1 cup, shredded",20.0,11
2891,2891,11114,"CABBAGE,SAVOY,RAW",91.0,27,2.0,0.1,0.8,6.1,3.1,2.27,35.0,0.4,28.0,42.0,230.0,28.0,0.27,0.062,0.18,0.9,31.0,0.07,0.03,0.3,0.187,0.19,80.0,0.0,80.0,80.0,12.3,0.0,1000.0,50.0,0.0,0.0,600.0,0.0,0.0,77.0,0.17,0.0,0.0,68.8,0.013,0.007,0.049,0.0,70.0,"1 cup, shredded",,,20.0,11
2893,2893,11116,"CABBAGE,CHINESE (PAK-CHOI),RAW",95.32,13,1.5,0.2,0.8,2.18,1.0,1.18,105.0,0.8,19.0,37.0,252.0,65.0,0.19,0.021,0.159,0.5,45.0,0.04,0.07,0.5,0.088,0.194,66.0,0.0,66.0,66.0,6.4,0.0,4468.0,223.0,0.0,1.0,2681.0,0.0,0.0,40.0,0.09,0.0,0.0,45.5,0.027,0.015,0.096,0.0,70.0,"1 cup, shredded",840.0,1 head,12.0,11
2896,2896,11119,"CABBAGE,CHINESE (PE-TSAI),RAW",94.39,16,1.2,0.2,0.98,3.23,1.2,1.41,77.0,0.31,13.0,29.0,238.0,9.0,0.23,0.036,0.19,0.6,27.0,0.04,0.05,0.4,0.105,0.232,79.0,0.0,79.0,79.0,7.6,0.0,318.0,16.0,0.0,1.0,190.0,0.0,0.0,48.0,0.12,0.0,0.0,42.9,0.043,0.023,0.072,0.0,76.0,"1 cup, shredded",,,7.0,11
