,Unnamed: 0,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,CLASS
2978,2978,11228,"JEW'S EAR,(PEPEAO),RAW",92.59,25,0.48,0.04,0.15,6.75,,,16.0,0.56,25.0,14.0,43.0,9.0,0.66,0.445,0.101,11.1,0.6,0.081,0.204,0.07,1.99,0.088,19.0,0.0,19.0,19.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,99.0,"1 cup, slices",6.0,1 piece,2.0,1
2980,2980,11231,"JUTE,POTHERB,RAW",87.72,34,4.65,0.25,1.58,5.8,,,208.0,4.76,64.0,83.0,559.0,8.0,0.79,0.255,0.123,0.9,37.0,0.133,0.546,1.26,0.072,0.6,123.0,0.0,123.0,123.0,,0.0,5559.0,278.0,0.0,,,,,,,0.0,0.0,,0.038,0.017,0.12,0.0,28.0,1 cup,,,38.0,1
2982,2982,11233,"KALE,RAW",84.04,49,4.28,0.93,2.01,8.75,3.6,2.26,150.0,1.47,47.0,92.0,491.0,38.0,0.56,1.499,0.659,0.9,120.0,0.11,0.13,1.0,0.091,0.271,141.0,0.0,141.0,141.0,0.8,0.0,9990.0,500.0,0.0,54.0,5927.0,81.0,0.0,8198.0,1.54,0.0,0.0,704.8,0.091,0.052,0.338,0.0,16.0,"1 cup, 1"" pieces, loosely packed",,,28.0,11
2990,2990,11241,"KOHLRABI,RAW",91.0,27,1.7,0.1,1.0,6.2,3.6,2.6,24.0,0.4,19.0,46.0,350.0,20.0,0.03,0.129,0.139,0.7,62.0,0.05,0.02,0.4,0.165,0.15,16.0,0.0,16.0,16.0,12.3,0.0,36.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.48,0.0,0.0,0.1,0.013,0.007,0.048,0.0,135.0,1 cup,16.0,1 slice,54.0,11
2995,2995,11246,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW",83.0,61,1.5,0.3,1.05,14.15,1.8,3.9,59.0,2.1,28.0,35.0,180.0,20.0,0.12,0.12,0.481,1.0,12.0,0.06,0.03,0.4,0.14,0.233,64.0,0.0,64.0,64.0,9.5,0.0,1667.0,83.0,0.0,0.0,1000.0,0.0,0.0,1900.0,0.92,0.0,0.0,47.0,0.04,0.004,0.166,0.0,89.0,1 cup,89.0,1 leek,56.0,11
2999,2999,11250,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",95.63,13,1.35,0.22,0.57,2.23,1.1,0.94,35.0,1.24,13.0,33.0,238.0,5.0,0.2,0.016,0.179,0.6,3.7,0.057,0.062,0.357,0.15,0.082,73.0,0.0,73.0,73.0,8.4,0.0,3312.0,166.0,0.0,0.0,1987.0,0.0,0.0,1223.0,0.18,0.0,0.0,102.3,0.029,0.008,0.117,0.0,55.0,"1 cup, shredded or chopped",163.0,"1 head,  (5"" dia)",26.0,11
3000,3000,11251,"LETTUCE,COS OR ROMAINE,RAW",94.61,17,1.23,0.3,0.58,3.29,2.1,1.19,33.0,0.97,14.0,30.0,247.0,8.0,0.23,0.048,0.155,0.4,4.0,0.072,0.067,0.313,0.142,0.074,136.0,0.0,136.0,136.0,9.9,0.0,8710.0,436.0,0.0,0.0,5226.0,0.0,0.0,2312.0,0.13,0.0,0.0,102.5,0.039,0.012,0.16,0.0,47.0,"1 cup, shredded",6.0,"1 leaf, inner",6.0,11
3001,3001,11252,"LETTUCE,ICEBERG (INCL CRISPHEAD TYPES),RAW",95.64,14,0.9,0.14,0.36,2.97,1.2,1.97,18.0,0.41,7.0,20.0,141.0,10.0,0.15,0.025,0.125,0.1,2.8,0.041,0.025,0.123,0.091,0.042,29.0,0.0,29.0,29.0,6.7,0.0,502.0,25.0,0.0,4.0,299.0,0.0,0.0,277.0,0.18,0.0,0.0,24.1,0.018,0.006,0.074,0.0,72.0,"1 cup, shredded",57.0,"1 cup, chopped (1/2"" pieces, loosely packed)",5.0,11
3002,3002,11253,"LETTUCE,GRN LEAF,RAW",94.98,15,1.36,0.15,0.62,2.87,1.3,0.78,36.0,0.86,13.0,29.0,194.0,28.0,0.18,0.029,0.25,0.6,9.2,0.07,0.08,0.375,0.134,0.09,38.0,0.0,38.0,38.0,13.6,0.0,7405.0,370.0,0.0,0.0,4443.0,0.0,0.0,1730.0,0.22,0.0,0.0,126.3,0.02,0.006,0.082,0.0,36.0,"1 cup, shredded",360.0,1 head,36.0,11
3003,3003,11254,"LOTUS ROOT,RAW",79.1,74,2.6,0.1,0.97,17.23,4.9,,45.0,1.16,23.0,100.0,556.0,40.0,0.39,0.257,0.261,0.7,44.0,0.16,0.22,0.4,0.377,0.258,13.0,0.0,13.0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.03,0.02,0.02,0.0,81.0,"10 slices,  (2-1/2"" dia)",115.0,"1 root,  (9-1/2"" long)",21.0,0
3005,3005,11257,"LETTUCE,RED LEAF,RAW",95.64,16,1.33,0.22,0.55,2.26,0.9,0.48,33.0,1.2,12.0,28.0,187.0,25.0,0.2,0.028,0.203,1.5,3.7,0.064,0.077,0.321,0.144,0.1,36.0,0.0,36.0,36.0,11.8,0.0,7492.0,375.0,0.0,0.0,4495.0,0.0,0.0,1724.0,0.15,0.0,0.0,140.3,0.017,0.005,0.072,0.0,28.0,"1 cup, shredded",2.6,"1 leaf, inner",20.0,11
3006,3006,11258,"MOUNTAIN YAM,HAWAII,RAW",81.44,67,1.34,0.1,0.82,16.3,2.5,0.31,26.0,0.44,12.0,34.0,418.0,13.0,0.27,0.11,0.242,0.7,2.6,0.102,0.019,0.481,0.433,0.179,14.0,0.0,14.0,14.0,,0.0,0.0,,0.0,,,,,,0.21,0.0,0.0,1.4,0.022,0.004,0.045,0.0,68.0,".5 cup, cubes",420.0,1 yam,17.0,11
3008,3008,11260,"MUSHROOMS,WHITE,RAW",92.45,22,3.09,0.34,0.85,3.26,1.0,1.98,3.0,0.5,9.0,86.0,318.0,5.0,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17.0,0.0,17.0,17.0,17.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,7.0,0.0,0.05,0.0,0.16,0.0,70.0,"1 cup, pieces or slices",96.0,"1 cup, whole",3.0,11
3012,3012,11265,"MUSHROOMS,PORTABELLA,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.5,3.0,0.31,,108.0,364.0,9.0,0.53,0.286,0.069,18.6,0.0,0.059,0.13,4.494,1.14,0.148,28.0,0.0,28.0,28.0,21.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,10.0,0.0,0.06,0.02,0.117,0.0,86.0,"1 cup, diced",84.0,"1 piece, whole",3.0,11
3013,3013,11266,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18.0,0.4,9.0,120.0,448.0,6.0,1.1,0.5,0.142,26.0,0.0,0.095,0.49,3.8,1.5,0.11,25.0,0.0,25.0,25.0,22.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,3.0,0.0,0.014,0.002,0.042,0.0,87.0,"1 cup, whole",72.0,"1 cup, sliced",3.0,11
3017,3017,11270,"MUSTARD GREENS,RAW",90.7,27,2.86,0.42,1.36,4.67,3.2,1.32,115.0,1.64,32.0,58.0,384.0,20.0,0.25,0.165,,0.9,70.0,0.08,0.11,0.8,0.21,0.18,12.0,0.0,12.0,12.0,0.5,0.0,3024.0,151.0,0.0,10.0,1790.0,40.0,0.0,3730.0,2.01,0.0,0.0,257.5,0.01,0.092,0.038,0.0,56.0,"1 cup, chopped",,,7.0,11
3021,3021,11274,"MUSTARD SPINACH,(TENDERGREEN),RAW",92.2,22,2.2,0.3,1.4,3.9,2.8,,210.0,1.5,11.0,28.0,449.0,21.0,0.17,0.075,0.407,0.8,130.0,0.068,0.093,0.678,0.178,0.153,159.0,0.0,159.0,159.0,,0.0,9900.0,495.0,0.0,,,,,,,0.0,0.0,,0.015,0.138,0.057,0.0,150.0,"1 cup, chopped",,,7.0,1
3023,3023,11276,"NEW ZEALAND SPINACH,RAW",94.0,14,1.5,0.2,1.8,2.5,1.5,0.29,58.0,0.8,39.0,28.0,130.0,130.0,0.38,0.093,0.639,0.7,30.0,0.04,0.13,0.5,0.312,0.304,15.0,0.0,15.0,15.0,,0.0,4400.0,,0.0,,,,,,1.42,0.0,0.0,337.0,0.032,0.005,0.084,0.0,56.0,"1 cup, chopped",,,28.0,11
3025,3025,11278,"OKRA,RAW",89.58,33,1.93,0.19,0.86,7.45,3.2,1.48,82.0,0.62,57.0,61.0,299.0,7.0,0.58,0.109,0.788,0.7,23.0,0.2,0.06,1.0,0.245,0.215,60.0,0.0,60.0,60.0,12.3,0.0,716.0,36.0,0.0,27.0,416.0,0.0,0.0,280.0,0.27,0.0,0.0,31.3,0.026,0.017,0.027,0.0,100.0,1 cup,95.0,"8 pods,  (3"" long)",14.0,11
3029,3029,11282,"ONIONS,RAW",89.11,40,1.1,0.1,0.35,9.34,1.7,4.24,23.0,0.21,10.0,29.0,146.0,4.0,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19.0,0.0,19.0,19.0,6.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.02,0.0,0.0,0.4,0.042,0.013,0.017,0.0,160.0,"1 cup, chopped",115.0,"1 cup, sliced",10.0,11
3038,3038,11291,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",89.83,32,1.83,0.19,0.81,7.34,2.6,2.33,72.0,1.48,20.0,37.0,276.0,16.0,0.39,0.083,0.16,0.6,18.8,0.055,0.08,0.525,0.075,0.061,64.0,0.0,64.0,64.0,5.7,0.0,997.0,50.0,0.0,0.0,598.0,0.0,0.0,1137.0,0.55,0.0,0.0,207.0,0.032,0.027,0.074,0.0,100.0,"1 cup, chopped",6.0,"1 tbsp, chopped",4.0,11
3040,3040,11293,"ONIONS,WELSH,RAW",90.5,34,1.9,0.4,0.7,6.5,2.4,2.18,18.0,1.22,23.0,49.0,212.0,17.0,0.52,0.07,0.137,0.6,27.0,0.05,0.09,0.4,0.169,0.072,16.0,0.0,16.0,16.0,5.3,0.0,1160.0,,0.0,,,,,,0.51,0.0,0.0,193.4,0.067,0.056,0.156,0.0,,,,,35.0,11
3041,3041,11294,"ONIONS,SWT,RAW",91.24,32,0.8,0.08,0.34,7.55,0.9,5.02,20.0,0.26,9.0,27.0,119.0,8.0,0.13,0.056,0.076,0.5,4.8,0.041,0.02,0.133,0.098,0.13,23.0,,23.0,,5.5,,1.0,0.0,,0.0,1.0,0.0,0.0,6.0,0.02,0.0,0.0,0.3,,,,0.0,148.0,1 NLEA serving,331.0,1 onion,16.0,11
3045,3045,11298,"PARSNIPS,RAW",79.53,75,1.2,0.3,0.98,17.99,4.9,4.8,36.0,0.59,29.0,71.0,375.0,10.0,0.59,0.12,0.56,1.8,17.0,0.09,0.05,0.7,0.6,0.09,67.0,0.0,67.0,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,22.5,0.05,0.112,0.047,0.0,133.0,"1 cup, slices",,,15.0,10
3047,3047,11300,"PEAS,EDIBLE-PODDED,RAW",88.89,42,2.8,0.2,0.56,7.55,2.6,4.0,43.0,2.08,24.0,53.0,200.0,4.0,0.27,0.079,0.244,0.7,60.0,0.15,0.08,0.6,0.75,0.16,42.0,0.0,42.0,42.0,17.4,0.0,1087.0,54.0,0.0,44.0,630.0,0.0,0.0,740.0,0.39,0.0,0.0,25.0,0.039,0.021,0.089,0.0,98.0,"1 cup, chopped",63.0,"1 cup, whole",6.0,11
3051,3051,11304,"PEAS,GREEN,RAW",78.86,81,5.42,0.4,0.87,14.45,5.7,5.67,25.0,1.47,33.0,108.0,244.0,5.0,1.24,0.176,0.41,1.8,40.0,0.266,0.132,2.09,0.104,0.169,65.0,0.0,65.0,65.0,28.4,0.0,765.0,38.0,0.0,21.0,449.0,0.0,0.0,2477.0,0.13,0.0,0.0,24.8,0.071,0.035,0.187,0.0,145.0,1 cup,,,62.0,10
3059,3059,11316,"PEAS,MATURE SEEDS,SPROUTED,RAW",62.27,124,8.8,0.68,1.14,27.11,,,36.0,2.26,56.0,165.0,381.0,20.0,1.05,0.272,0.438,0.6,10.4,0.225,0.155,3.088,1.029,0.265,144.0,0.0,144.0,144.0,,0.0,166.0,,,,,,,,,0.0,0.0,,0.124,0.061,0.326,0.0,120.0,1 cup,,,0.0,0
3074,3074,11344,"PIGEONPEAS,IMMAT SEEDS,RAW",65.88,136,7.2,1.64,1.4,23.88,5.1,3.0,42.0,1.6,68.0,127.0,552.0,5.0,1.04,0.134,0.574,1.5,39.0,0.4,0.17,2.2,0.68,0.068,173.0,0.0,173.0,173.0,45.8,0.0,67.0,3.0,0.0,0.0,40.0,0.0,0.0,190.0,0.39,0.0,0.0,24.0,0.354,0.013,0.873,0.0,154.0,1 cup,4.0,10 seeds,52.0,10
3077,3077,11350,"POKEBERRY SHOOTS,(POKE),RAW",91.6,23,2.6,0.4,1.7,3.7,1.7,,53.0,1.7,18.0,44.0,242.0,23.0,0.24,0.157,0.418,0.9,136.0,0.08,0.33,1.2,0.049,0.146,16.0,0.0,16.0,16.0,,0.0,8700.0,435.0,0.0,,,,,,,0.0,0.0,,,,,0.0,160.0,1 cup,,,,1
3079,3079,11352,"POTATOES,FLESH & SKN,RAW",79.25,77,2.05,0.09,1.11,17.49,2.1,0.82,12.0,0.81,23.0,57.0,425.0,6.0,0.3,0.11,0.153,0.4,19.7,0.081,0.032,1.061,0.295,0.298,15.0,0.0,15.0,15.0,12.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.01,0.0,0.0,2.0,0.025,0.002,0.042,0.0,75.0,".5 cup, diced",369.0,"1 Potato, large (3"" to 4-1/4"" dia)",25.0,10
3080,3080,11353,"POTATOES,RUSSET,FLESH & SKN,RAW",78.58,79,2.14,0.08,1.13,18.07,1.3,0.62,13.0,0.86,23.0,55.0,417.0,5.0,0.29,0.103,0.157,0.4,5.7,0.082,0.033,1.035,0.301,0.345,14.0,0.0,14.0,14.0,12.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01,0.0,0.0,1.8,0.026,0.002,0.043,0.0,75.0,".5 cup, diced",369.0,"1 potato, large (3"" to 4-1/4"" dia)",25.0,10
3081,3081,11354,"POTATOES,WHITE,FLESH & SKN,RAW",81.58,69,1.68,0.1,0.94,15.71,2.4,1.15,9.0,0.52,21.0,62.0,407.0,16.0,0.29,0.116,0.145,0.3,9.1,0.071,0.034,1.066,0.281,0.203,18.0,0.0,18.0,18.0,11.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.01,0.0,0.0,1.6,0.026,0.002,0.043,0.0,75.0,".5 cup, diced",369.0,"1 large,  (3"" to 4-1/4"" dia.)",25.0,11
3082,3082,11355,"POTATOES,RED,FLESH & SKN,RAW",80.96,70,1.89,0.14,1.1,15.9,1.7,1.29,10.0,0.73,22.0,61.0,455.0,18.0,0.33,0.134,0.141,0.5,8.6,0.081,0.031,1.149,0.279,0.17,18.0,0.0,18.0,18.0,16.4,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,0.01,0.0,0.0,2.9,0.035,0.003,0.059,0.0,75.0,".5 cup, diced",369.0,"1 potato, large (3"" to 4-1/4"" dia)",25.0,11
3089,3089,11362,"POTATOES,RAW,SKIN",83.29,58,2.57,0.1,1.61,12.44,2.5,,30.0,3.24,23.0,38.0,413.0,10.0,0.35,0.423,0.602,0.3,11.4,0.021,0.038,1.033,0.302,0.239,17.0,0.0,17.0,17.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.026,0.002,0.043,0.0,38.0,1 skin,,,0.0,1
3136,3136,11416,"PUMPKIN FLOWERS,RAW",95.15,15,1.03,0.07,0.48,3.28,,,39.0,0.7,24.0,49.0,173.0,5.0,,,,0.7,28.0,0.042,0.075,0.69,,,59.0,0.0,59.0,59.0,,0.0,1947.0,97.0,0.0,,,,,,,0.0,0.0,,0.036,0.009,0.004,0.0,33.0,1 cup,2.0,1 flower,65.0,1
3138,3138,11418,"PUMPKIN LEAVES,RAW",92.88,19,3.15,0.4,1.24,2.33,,,39.0,2.22,38.0,104.0,436.0,11.0,0.2,0.133,0.355,0.9,11.0,0.094,0.128,0.92,0.042,0.207,36.0,0.0,36.0,36.0,,0.0,1942.0,97.0,0.0,,,,,,,0.0,0.0,,0.207,0.052,0.022,0.0,39.0,1 cup,,,59.0,1
3140,3140,11422,"PUMPKIN,RAW",91.6,26,1.0,0.1,0.8,6.5,0.5,2.76,21.0,0.8,12.0,44.0,340.0,1.0,0.32,0.127,0.125,0.3,9.0,0.05,0.11,0.6,0.298,0.061,16.0,0.0,16.0,16.0,8.2,0.0,8513.0,426.0,0.0,4016.0,3100.0,0.0,0.0,1500.0,1.06,0.0,0.0,1.1,0.052,0.013,0.005,0.0,116.0,"1 cup,  (1"" cubes)",,,30.0,11
3144,3144,11427,"PURSLANE,RAW",92.86,20,2.03,0.36,1.36,3.39,,,65.0,1.99,68.0,44.0,494.0,45.0,0.17,0.113,0.303,0.9,21.0,0.047,0.112,0.48,0.036,0.073,12.0,0.0,12.0,12.0,12.8,0.0,1320.0,,0.0,,,,,,,0.0,0.0,,,,,0.0,43.0,1 cup,3.0,1 plant,24.0,1
3146,3146,11429,"RADISHES,RAW",95.27,16,0.68,0.1,0.55,3.4,1.6,1.86,25.0,0.34,10.0,20.0,233.0,39.0,0.28,0.05,0.069,0.6,14.8,0.012,0.039,0.254,0.165,0.071,25.0,0.0,25.0,25.0,6.5,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,0.032,0.017,0.048,0.0,116.0,"1 cup, slices",9.0,"1 large,  (1"" to 1-1/4"" dia)",10.0,11
3147,3147,11430,"RADISHES,ORIENTAL,RAW",94.62,18,0.6,0.1,0.58,4.1,1.6,2.5,27.0,0.4,16.0,23.0,227.0,21.0,0.15,0.115,0.038,0.7,22.0,0.02,0.02,0.2,0.138,0.046,28.0,0.0,28.0,28.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.03,0.017,0.045,0.0,116.0,"1 cup, slices",338.0,"1 radish,  (7"" long)",21.0,11
3150,3150,11435,"RUTABAGAS,RAW",89.43,37,1.08,0.16,0.71,8.62,2.3,4.46,43.0,0.44,20.0,53.0,305.0,12.0,0.24,0.032,0.131,0.7,25.0,0.09,0.04,0.7,0.16,0.1,21.0,0.0,21.0,21.0,14.1,0.0,2.0,0.0,0.0,0.0,1.0,1.0,14.0,19.0,0.3,0.0,0.0,0.3,0.027,0.025,0.088,0.0,140.0,"1 cup, cubes",772.0,1 large,15.0,11
3159,3159,11447,"SESBANIA FLOWER,RAW",91.58,27,1.28,0.04,0.38,6.73,,,19.0,0.84,12.0,30.0,184.0,15.0,,,,0.9,73.0,0.083,0.081,0.43,,,102.0,0.0,102.0,102.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,3.0,1 flower,20.0,"1 cup,  flowers",15.0,1
3166,3166,11457,"SPINACH,RAW",91.4,23,2.86,0.39,1.72,3.63,2.2,0.42,99.0,2.71,79.0,49.0,558.0,79.0,0.53,0.13,0.897,1.0,28.1,0.078,0.189,0.724,0.065,0.195,194.0,0.0,194.0,194.0,19.3,0.0,9377.0,469.0,0.0,0.0,5626.0,0.0,0.0,12198.0,2.03,0.0,0.0,482.9,0.063,0.01,0.165,0.0,30.0,1 cup,340.0,1 bunch,28.0,11
3172,3172,11467,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",94.28,19,1.01,0.27,0.56,3.88,1.0,2.88,21.0,0.44,20.0,32.0,222.0,2.0,0.29,0.092,0.172,0.2,19.3,0.051,0.041,0.448,0.16,0.104,19.0,0.0,19.0,19.0,7.1,0.0,150.0,8.0,0.0,0.0,90.0,0.0,0.0,290.0,0.13,0.0,0.0,3.2,0.093,0.013,0.082,0.0,127.0,"1 cup, sliced",,,1.0,11
3179,3179,11477,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",94.79,17,1.21,0.32,0.58,3.11,1.0,2.5,16.0,0.37,18.0,38.0,261.0,8.0,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24.0,0.0,24.0,24.0,9.5,0.0,200.0,10.0,0.0,0.0,120.0,0.0,0.0,2125.0,0.12,0.0,0.0,4.3,0.084,0.011,0.091,0.0,124.0,"1 cup, chopped",113.0,"1 cup, sliced",5.0,11
3187,3187,11485,"SQUASH,WNTR,BUTTERNUT,RAW",86.41,45,1.0,0.1,0.8,11.69,2.0,2.2,48.0,0.7,34.0,33.0,352.0,4.0,0.15,0.072,0.202,0.5,21.0,0.1,0.02,1.2,0.4,0.154,27.0,0.0,27.0,27.0,,0.0,10630.0,532.0,0.0,834.0,4226.0,3471.0,0.0,0.0,1.44,0.0,0.0,1.1,0.021,0.007,0.042,0.0,140.0,"1 cup, cubes",,,16.0,11
3191,3191,11489,"SQUASH,WINTER,HUBBARD,RAW",88.0,40,2.0,0.5,0.8,8.7,3.9,3.95,14.0,0.4,19.0,21.0,320.0,7.0,0.13,0.064,0.179,0.5,11.0,0.07,0.04,0.5,0.4,0.154,16.0,0.0,16.0,16.0,11.8,0.0,1367.0,68.0,0.0,0.0,820.0,0.0,0.0,0.0,0.16,0.0,0.0,1.3,0.103,0.037,0.21,0.0,116.0,"1 cup, cubes",,,36.0,11
3194,3194,11492,"SQUASH,WNTR,SPAGHETTI,RAW",91.6,31,0.64,0.57,0.28,6.91,1.5,2.76,23.0,0.31,12.0,12.0,108.0,17.0,0.19,0.037,0.125,0.3,2.1,0.037,0.018,0.95,0.36,0.101,12.0,0.0,12.0,12.0,8.2,0.0,120.0,6.0,0.0,16.0,64.0,0.0,0.0,0.0,0.13,0.0,0.0,0.9,0.117,0.042,0.239,0.0,101.0,"1 cup, cubes",,,29.0,11
3202,3202,11503,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW",92.47,19,2.6,0.2,1.6,3.14,2.1,,77.0,1.67,71.0,39.0,312.0,113.0,0.18,0.023,0.16,0.9,55.0,0.03,0.1,0.9,0.141,0.096,57.0,0.0,57.0,57.0,,0.0,6300.0,315.0,0.0,,,,,,,0.0,0.0,,,,,0.0,56.0,"1 cup, chopped",13.0,1 shoot,23.0,1
3204,3204,11505,"SWEET POTATO LEAVES,RAW",86.81,42,2.49,0.51,1.36,8.82,5.3,,78.0,0.97,70.0,81.0,508.0,6.0,,,,0.9,11.0,0.156,0.345,1.13,0.225,0.19,,0.0,1.0,1.0,,0.0,3778.0,189.0,0.0,42.0,2217.0,58.0,0.0,14720.0,,0.0,0.0,302.2,0.111,0.02,0.228,0.0,35.0,"1 cup, chopped",16.0,"1 leaf,  (12-1/4"" long)",6.0,1
3206,3206,11507,"SWEET POTATO,RAW,UNPREP",77.28,86,1.57,0.05,0.99,20.12,3.0,4.18,30.0,0.61,25.0,47.0,337.0,55.0,0.3,0.151,0.258,0.6,2.4,0.078,0.061,0.557,0.8,0.209,11.0,0.0,11.0,11.0,12.3,0.0,14187.0,709.0,0.0,7.0,8509.0,0.0,0.0,0.0,0.26,0.0,0.0,1.8,0.018,0.001,0.014,0.0,133.0,"1 cup, cubes",130.0,"1 sweetpotato,  5"" long",28.0,10
3213,3213,11518,"TARO,RAW",70.64,112,1.5,0.2,1.2,26.46,4.1,0.4,43.0,0.55,33.0,84.0,591.0,11.0,0.23,0.172,0.383,0.7,4.5,0.095,0.025,0.6,0.303,0.283,22.0,0.0,22.0,22.0,17.3,0.0,76.0,4.0,0.0,0.0,35.0,20.0,0.0,0.0,2.38,0.0,0.0,1.0,0.041,0.016,0.083,0.0,104.0,"1 cup, sliced",,,14.0,10
3215,3215,11520,"TARO LEAVES,RAW",85.66,42,4.98,0.74,1.92,6.7,3.7,3.01,107.0,2.25,45.0,60.0,648.0,3.0,0.41,0.27,0.714,0.9,52.0,0.209,0.456,1.513,0.084,0.146,126.0,0.0,126.0,126.0,12.8,0.0,4825.0,241.0,0.0,0.0,2895.0,0.0,0.0,1932.0,2.02,0.0,0.0,108.6,0.151,0.06,0.307,0.0,28.0,1 cup,10.0,"1 leaf,  (11"" x 6-1/2"")",40.0,11
3217,3217,11522,"TARO SHOOTS,RAW",95.82,11,0.92,0.09,0.85,2.32,,,12.0,0.6,8.0,28.0,332.0,1.0,0.51,0.088,0.122,0.9,21.0,0.04,0.05,0.8,0.075,0.111,3.0,0.0,3.0,3.0,,0.0,50.0,3.0,0.0,,,,,,,0.0,0.0,,0.018,0.007,0.037,0.0,43.0,".5 cup, slices",83.0,1 shoot,12.0,1
3219,3219,11525,"TARO,TAHITIAN,RAW",87.96,44,2.79,0.97,1.38,6.91,,,129.0,1.3,47.0,45.0,606.0,50.0,0.09,0.071,0.157,0.7,96.0,0.062,0.244,0.995,0.124,0.116,9.0,0.0,9.0,9.0,,0.0,2045.0,102.0,0.0,,,,,,,0.0,0.0,,0.197,0.078,0.4,0.0,125.0,"1 cup, slices",,,,1
3221,3221,11527,"TOMATOES,GREEN,RAW",93.0,23,1.2,0.2,0.5,5.1,1.1,4.0,13.0,0.51,10.0,28.0,204.0,13.0,0.07,0.09,0.1,0.4,23.4,0.06,0.04,0.5,0.5,0.081,9.0,0.0,9.0,9.0,8.6,0.0,642.0,32.0,0.0,78.0,346.0,0.0,0.0,0.0,0.38,0.0,0.0,10.1,0.028,0.03,0.081,0.0,180.0,1 cup,182.0,1 large,9.0,11
3222,3222,11529,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",94.52,18,0.88,0.2,0.5,3.89,1.2,2.63,10.0,0.27,11.0,24.0,237.0,5.0,0.17,0.059,0.114,0.0,13.7,0.037,0.019,0.594,0.089,0.08,15.0,0.0,15.0,15.0,6.7,0.0,833.0,42.0,0.0,101.0,449.0,0.0,2573.0,123.0,0.54,0.0,0.0,7.9,0.028,0.031,0.083,0.0,149.0,"1 cup,  cherry tomatoes",180.0,"1 cup, chopped or sliced",9.0,11
