Price_Acceleration,Variety_encoded,High_Volatility_Regime,Start_Date,Month_Cos,Fuel_Impact_Ratio,Year,Month_Sin,Weekly_Price_lag2,Rolling_Mean_4w,Weekly_Price_lag3,Price_to_Fuel_Ratio,Fuel_Price,Price_Position_4w,Vegetable,Location_encoded,Rolling_Mean_13w,Price_to_Rolling_Mean_Ratio,Price_Deviation_From_Veg_Avg,Rolling_Std_4w,Data_Type,Seasonal_Price_Index,Day_of_Year,Rolling_Std_4w_scaled,Rolling_Mean_4w_scaled,Week_Number,Quarter_encoded,Weekly_Price_lag1,Price_Change_lag1,Price_Change_Pct_lag1,Trend_Consistency,Month,Season_encoded,Positive_Momentum,Weekly_Price,Fuel_Price_scaled
0.0,0,0,2000-01-03,0.8660254037844387,0.0,2000,0.4999999999999999,0.0,37.84,0.0,2.866666666666667,13.2,0.0,Bitter Gourd,0,37.84,1.0,-133.804072856049,0.0,Historical,1.1235174173976892,3,0.0,-0.8714442236493206,1,0,0.0,0.0,0.0,0.0,1,4,0,37.84,-1.0191958855926069
0.0,0,1,2000-01-10,0.8660254037844387,0.15816195784363477,2000,0.4999999999999999,0.0,38.24,0.0,2.926515151515152,13.2,1.9749999995062548,Bitter Gourd,0,38.24,1.0101987447698746,-133.014072856049,0.56,Historical,1.1235174173976892,10,-0.6567106550462856,-0.8678846081740731,2,0,37.84,0.0,0.0,0.0,1,4,0,38.63,-1.0191958855926069
0.7899999999999991,0,0,2000-01-17,0.8660254037844387,0.154927478250146,2000,0.4999999999999999,37.84,38.63,0.0,2.9863636363636368,13.2,1.9999999997468354,Bitter Gourd,0,38.63,1.020450427129174,-132.22407285604902,0.79,Historical,1.1235174173976892,17,-0.6384520789941639,-0.8644139830857069,3,0,38.63,0.7899999999999991,2.087737843551795,0.5,1,4,0,39.42,-1.0191958855926069
0.0,0,0,2000-01-24,0.8660254037844387,0.08648125086415655,2000,0.4999999999999999,38.63,38.94,37.84,3.020454545454545,13.2,1.845454545286781,Bitter Gourd,0,38.94,1.0238828967642526,-131.774072856049,0.89,Historical,1.1235174173976892,24,-0.6305135676671544,-0.8616552810923901,4,0,39.42,0.7899999999999991,2.04504271291742,0.6666666666666666,1,4,1,39.87,-1.0191958855926069
-0.34000000000000347,0,0,2000-01-31,0.8660254037844387,0.036102180571433946,2000,0.4999999999999999,39.42,39.5,38.63,3.034848484848485,13.2,1.4444444443298086,Bitter Gourd,0,39.16,1.0141772151898736,-131.584072856049,0.64,Historical,1.1235174173976892,31,-0.650359845984678,-0.8566718194270436,5,0,39.87,0.4499999999999957,1.1415525114155145,1.0,1,4,1,40.06,-1.0191958855926069
-0.2599999999999909,0,0,2000-02-07,0.5000000000000001,-0.0037822054796312335,2000,0.8660254037844386,39.87,39.85,39.42,3.033333333333333,13.2,1.1557377048232984,Bitter Gourd,0,39.31,1.0047678795483062,-131.60407285604902,0.3,Historical,1.1235174173976892,38,-0.6773507844965102,-0.8535571558862022,1,0,40.06,0.1900000000000048,0.4765487835465383,1.0,2,4,1,40.04,-1.0191958855926069
-0.2100000000000079,0,0,2000-02-14,0.5000000000000001,-0.021583354916555112,2000,0.8660254037844386,40.06,39.97,39.87,2.462962962962963,16.2,0.932038834860967,Bitter Gourd,0,39.39,0.9982486865148862,-131.744072856049,0.11,Historical,1.1235174173976892,45,-0.6924339560178283,-0.8524892712436278,2,0,40.04,-0.0200000000000031,-0.0499251123315105,0.6666666666666666,2,4,0,39.9,-0.986973112357524
-0.11999999999999741,0,0,2000-02-21,0.5000000000000001,-0.030941551409196015,2000,0.8660254037844386,40.04,39.92,40.06,2.450617283950617,16.2,0.4255319148030854,Bitter Gourd,0,39.43,0.9944889779559118,-131.944072856049,0.17,Historical,1.1235174173976892,52,-0.6876708492216226,-0.8529342231780338,3,0,39.9,-0.1400000000000005,-0.3496503496503511,0.3333333333333333,2,4,0,39.7,-0.986973112357524
-0.059999999999995196,0,0,2000-02-28,0.5000000000000001,-0.02798768541824309,2000,0.8660254037844386,39.9,39.79,40.04,2.4395061728395064,16.2,-1.4999999991666468,Bitter Gourd,0,39.44,0.993214375471224,-132.124072856049,0.23,Historical,1.1235174173976892,59,-0.6829077424254169,-0.8540910982074893,4,0,39.7,-0.1999999999999957,-0.5012531328320695,0.0,2,4,0,39.52,-0.986973112357524
0.01999999999999602,0,0,2000-03-06,6.123233995736766e-17,-0.014057579846967289,2000,1.0,39.7,39.64,39.9,2.433950617283951,16.2,-0.6363636361708047,Bitter Gourd,0,39.44,0.994702320887992,-132.214072856049,0.21,Historical,0.8789134960203479,66,-0.6844954446908188,-0.855425954010707,1,0,39.52,-0.1799999999999997,-0.4534005037783368,0.0,3,1,0,39.43,-0.986973112357524
