Date,Vegetable,Price,Year,Month,Week_of_Year,Quarter,Price_Lag_1,Price_Lag_2,Price_Lag_3,Price_Lag_4,Price_Lag_8,Price_Lag_12,Price_Lag_52,Rolling_Mean_4,Rolling_Mean_8,Rolling_Mean_12,Rolling_Std_4,Rolling_Min_4,Rolling_Max_4,Price_Change_1wk,Price_Change_Pct_1wk,Price_Change_4wk,Month_Avg_Price,Price_vs_Month_Avg,Is_Bitter_Gourd,Is_Brinjals,Is_Cabbage,Is_Carrot,Is_Pumpkin,Is_Tomatoes,Fuel_Price,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Season,Fuel_x_Lag1,Fuel_x_Lag52,Price_Level_x_Volatility,Momentum_x_Volatility,Month_x_Price,Fuel_x_Month,Fuel_Lag_1,Fuel_Lag_2,Fuel_Lag_3,Fuel_Lag_4,Fuel_Rolling_Mean_4,Price_Change_12wk,Price_Change_Pct_4wk,Price_Change_Pct_12wk,Price_Acceleration,Volatility_Percentile,High_Volatility,Volatility_Change,Vegetable_Code
2017-05-29,Cabbage,230.0,2017,5,22,2,199.41176470588235,212.5,211.53846153846155,214.5,113.5897435897436,72.95454545454545,193.43,213.362556561086,192.6129850541616,161.17152584722243,12.589684190408503,199.41176470588235,230.0,30.58823529411765,15.339233038348086,15.5,181.49336932393336,48.50663067606664,0,0,1,0,0,0,121.0,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,2,24128.823529411766,23405.030000000002,2510.5311414991074,385.09622229484836,997.0588235294117,605.0,121.0,121.0,121.0,121.0,121.0,157.04545454545456,7.226107226107237,215.26479750778816,43.676470588235304,0.5573770491803278,0.0,5.760160111422647,2
2017-06-05,Cabbage,190.0,2017,6,23,2,230.0,199.41176470588235,212.5,211.53846153846155,122.42424242424242,78.15789473684211,211.82,207.9779411764706,201.0599547511312,170.49170128581895,17.339798529203595,190.0,230.0,-40.0,-17.391304347826086,-21.538461538461547,209.0377177919693,-19.0377177919693,0,0,1,0,0,0,121.0,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,3,27830.0,25630.219999999998,3988.1536617168267,-693.5919411681438,1380.0,726.0,121.0,121.0,121.0,121.0,121.0,111.84210526315789,-10.18181818181818,143.09764309764307,-70.58823529411765,0.6834804539722572,0.0,4.7501143387950915,2
2017-06-12,Cabbage,200.5405405405405,2017,6,24,2,190.0,230.0,199.41176470588235,212.5,163.52941176470588,88.97435897435898,231.0,204.9880763116057,205.68634584811053,179.78888308300074,17.33122984360296,190.0,230.0,10.54054054054052,5.547652916073957,-11.95945945945951,209.0377177919693,-8.49717725142878,0,0,1,0,0,0,121.0,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,3,22990.0,27951.0,3292.933670284562,182.68053078392273,1140.0,726.0,121.0,121.0,121.0,121.0,121.0,111.56618156618151,-5.627980922098597,125.39138562193313,50.54054054054052,0.682219419924338,0.0,-0.008568685600636172,2
2017-06-19,Cabbage,197.5,2017,6,25,2,200.5405405405405,190.0,230.0,199.41176470588235,187.0,112.43243243243244,210.53,204.5101351351352,206.99884584811053,186.8778470469647,17.561101980675208,190.0,230.0,-3.040540540540519,-1.516172506738534,-1.911764705882348,209.0377177919693,-11.5377177919693,0,0,1,0,0,0,121.0,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,3,24265.4054054054,25474.13,3521.7128836921624,-53.395242508809375,1203.243243243243,726.0,121.0,121.0,121.0,121.0,121.0,85.06756756756756,-0.9587020648967548,75.6610576923077,-13.58108108108104,0.6897856242118537,0.0,0.22987213707224896,2
2017-06-26,Cabbage,176.28571428571428,2017,6,26,2,197.5,200.5405405405405,190.0,230.0,214.5,113.5897435897436,194.61,191.08156370656368,202.22206013382484,192.1025112716289,10.812885944314104,176.28571428571428,200.5405405405405,-21.21428571428572,-10.741410488245934,-53.71428571428572,209.0377177919693,-32.75200350625502,0,0,1,0,0,0,121.0,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,3,23897.5,23547.81,2135.5449740020354,-229.38765181866353,1185.0,726.0,121.0,121.0,121.0,121.0,121.0,62.69597069597067,-23.354037267080752,55.1950983553692,-18.1737451737452,0.5119798234552333,0.0,-6.748216036361104,2
2017-07-03,Cabbage,153.33333333333334,2017,7,27,3,176.28571428571428,197.5,200.5405405405405,190.0,211.53846153846155,122.42424242424242,171.19,181.91489703989703,194.94641910818385,194.67826884738648,21.896754040133203,153.33333333333334,200.5405405405405,-22.95238095238093,-13.019989195029703,-36.66666666666666,193.1731304244674,-39.839797091134045,0,0,1,0,0,0,121.0,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,3,21330.571428571428,20713.989999999998,3860.0849265034817,-502.58264034972353,1234.0,847.0,121.0,121.0,121.0,121.0,121.0,30.90909090909092,-19.298245614035082,25.247524752475247,-1.7380952380952124,0.7742749054224464,1.0,11.0838680958191,2
2017-07-10,Cabbage,171.05263157894737,2017,7,28,3,153.33333333333334,176.28571428571428,197.5,200.5405405405405,212.5,163.52941176470588,184.39,174.54291979949875,189.76549805555223,195.30520383190665,18.18509952205897,153.33333333333334,197.5,17.719298245614027,11.55606407322654,-29.48790896159312,193.1731304244674,-22.12049884552001,0,0,1,0,0,0,121.0,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,3,18553.333333333336,22311.19,2788.3819267157087,322.227202057536,1073.3333333333335,847.0,121.0,121.0,121.0,121.0,121.0,7.523219814241486,-14.70421336359765,4.600530102234002,40.67167919799496,0.7036569987389659,0.0,-3.7116545180742335,2
2017-07-17,Cabbage,177.57575757575756,2017,7,29,3,171.05263157894737,153.33333333333334,176.28571428571428,197.5,199.41176470588235,187.0,182.5,169.56185919343812,187.03599716428664,194.51985029655307,11.180641729964105,153.33333333333334,177.57575757575756,6.523125996810194,3.8135198135198056,-19.924242424242436,193.1731304244674,-15.597372848709824,0,0,1,0,0,0,121.0,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,3,20697.368421052633,22082.5,1912.4781906517549,72.93273472974975,1197.3684210526317,847.0,121.0,121.0,121.0,121.0,121.0,-9.424242424242436,-10.08822401227465,-5.039701831145694,-11.196172248803833,0.5220680958385876,0.0,-7.004457792094865,2
2017-07-24,Cabbage,172.0,2017,7,30,3,177.57575757575756,171.05263157894737,153.33333333333334,176.28571428571428,230.0,214.5,168.05,168.49043062200957,179.78599716428664,190.9781836298864,10.50654898999426,153.33333333333334,177.57575757575756,-5.575757575757564,-3.1399317406143283,-4.285714285714278,193.1731304244674,-21.173130424467388,0,0,1,0,0,0,121.0,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,3,21486.666666666664,20334.050000000003,1865.7083964050412,-58.58197012602847,1243.030303030303,847.0,121.0,121.0,121.0,121.0,121.0,-42.5,-2.4311183144246296,-19.813519813519807,-12.098883572567757,0.49810844892812106,0.0,-0.6740927399698453,2
2017-07-31,Cabbage,165.71428571428572,2017,7,31,3,172.0,177.57575757575756,171.05263157894737,153.33333333333334,190.0,211.53846153846155,133.6,171.58566871724767,176.75028287857234,187.1595023112051,4.858329682201165,165.71428571428572,177.57575757575756,-6.285714285714278,-3.6544850498338826,12.38095238095238,193.1731304244674,-27.458844710181666,0,0,1,0,0,0,121.0,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936565,3,20812.0,16165.599999999999,835.6327053386004,-30.53807228812157,1204.0,847.0,121.0,121.0,121.0,121.0,121.0,-45.824175824175825,8.074534161490687,-21.66233766233766,-0.7099567099567139,0.23329129886506936,0.0,-5.648219307793094,2
