Date,Vegetable,Price,Year,Month,Week_of_Year,Quarter,Price_Lag_1,Price_Lag_2,Price_Lag_3,Price_Lag_4,Price_Lag_8,Price_Lag_12,Price_Lag_52,Rolling_Mean_4,Rolling_Mean_8,Rolling_Mean_12,Rolling_Std_4,Rolling_Min_4,Rolling_Max_4,Price_Change_1wk,Price_Change_Pct_1wk,Price_Change_4wk,Month_Avg_Price,Price_vs_Month_Avg,Is_Bitter_Gourd,Is_Brinjals,Is_Cabbage,Is_Carrot,Is_Pumpkin,Is_Tomatoes,Fuel_Price
2024-03-11,Cabbage,571.7241379310345,2024,3,11,1,512.8571428571429,536.5384615384615,545.3571428571429,570.0,854.3333333333334,535.4545454545455,151.72413793103448,541.6192212959454,605.7772830617658,632.7834179230731,24.31288642562461,512.8571428571429,571.7241379310345,58.86699507389165,11.478244164825668,1.7241379310345335,159.0761789571825,412.647958973852,0,0,1,0,0,0,358.0
2024-03-18,Cabbage,544.0,2024,3,12,1,571.7241379310345,512.8571428571429,536.5384615384615,545.3571428571429,732.5,548.7878787878788,143.10344827586206,541.2799355816597,582.2147830617658,632.3844280240833,24.25273132035721,512.8571428571429,571.7241379310345,-27.724137931034534,-4.849215922798561,-1.3571428571428896,159.0761789571825,384.9238210428175,0,0,1,0,0,0,358.0
2024-03-25,Cabbage,452.41379310344826,2024,3,13,1,544.0,571.7241379310345,512.8571428571429,536.5384615384615,734.1379310344828,698.4615384615385,161.3793103448276,520.2487684729065,546.9992658203865,611.8804492442424,51.21866415192345,452.41379310344826,571.7241379310345,-91.58620689655174,-16.83569979716025,-84.12466843501329,159.0761789571825,293.33761414626576,0,0,1,0,0,0,358.0
2024-04-01,Cabbage,342.0,2024,4,14,2,452.41379310344826,544.0,571.7241379310345,512.8571428571429,643.1034482758621,645.6,170.35714285714286,477.5344827586207,509.36133478590375,586.5804492442425,103.74648779446356,342.0,571.7241379310345,-110.41379310344826,-24.40548780487805,-170.8571428571429,154.6419400597892,187.3580599402108,0,0,1,0,0,0,363.0
2024-04-08,Cabbage,306.7741935483871,2024,4,15,2,342.0,452.41379310344826,544.0,571.7241379310345,570.0,854.3333333333334,195.7142857142857,411.2969966629588,476.45810897945216,540.9505209288301,108.05518368197004,306.7741935483871,544.0,-35.225806451612925,-10.299943406904363,-264.94994438264746,154.6419400597892,152.13225348859788,0,0,1,0,0,0,363.0
2024-04-15,Cabbage,329.5833333333333,2024,4,16,2,306.7741935483871,342.0,452.41379310344826,544.0,545.3571428571429,732.5,245.3846153846154,357.6928299962922,449.486382788976,507.3741320399413,64.81043410233282,306.7741935483871,452.41379310344826,22.80913978494624,7.435155976165442,-214.41666666666669,154.6419400597892,174.94139327354412,0,0,1,0,0,0,363.0
2024-04-22,Cabbage,296.25,2024,4,17,2,329.5833333333333,306.7741935483871,342.0,452.41379310344826,536.5384615384615,734.1379310344828,236.96969696969697,318.6518817204301,419.4503250966683,470.88347112040105,20.87706111573527,296.25,342.0,-33.333333333333314,-10.113780025284443,-156.16379310344826,154.6419400597892,141.6080599402108,0,0,1,0,0,0,363.0
2024-04-29,Cabbage,230.7142857142857,2024,4,18,2,296.25,329.5833333333333,306.7741935483871,342.0,512.8571428571429,643.1034482758621,266.0,290.8304531490015,384.1824679538111,436.517707573603,42.42371057012477,230.7142857142857,329.5833333333333,-65.5357142857143,-22.121760096443648,-111.2857142857143,154.6419400597892,76.0723456544965,0,0,1,0,0,0,363.0
2024-05-06,Cabbage,235.17241379310343,2024,5,19,2,230.7142857142857,296.25,329.5833333333333,306.7741935483871,571.7241379310345,570.0,268.0769230769231,272.93000821018063,342.1135024365697,408.6154087230282,48.17061492446005,230.7142857142857,329.5833333333333,4.458128078817737,1.9323155759581525,-71.60177975528364,181.49336932393336,53.67904446917007,0,0,1,0,0,0,333.0
2024-05-13,Cabbage,223.2258064516129,2024,5,20,2,235.17241379310343,230.7142857142857,296.25,329.5833333333333,544.0,545.3571428571429,288.0,246.3406264897505,302.0167282430213,381.7711306892342,33.63605194058734,223.2258064516129,296.25,-11.946607341490534,-5.079935673067823,-106.35752688172042,181.49336932393336,41.73243712767953,0,0,1,0,0,0,333.0
2024-05-20,Cabbage,219.7142857142857,2024,5,21,2,223.2258064516129,235.17241379310343,230.7142857142857,296.25,452.41379310344826,536.5384615384615,333.8709677419355,227.2066979183219,272.92928981937604,355.3691160372195,7.017585982115684,219.7142857142857,235.17241379310343,-3.511520737327203,-1.573080099091666,-76.5357142857143,181.49336932393336,38.22091639035233,0,0,1,0,0,0,333.0
2024-05-27,Cabbage,255.7142857142857,2024,5,22,2,219.7142857142857,223.2258064516129,235.17241379310343,230.7142857142857,342.0,512.8571428571429,429.1666666666667,233.45669791832196,262.1435755336617,333.94054460864805,16.246732275007787,219.7142857142857,255.7142857142857,36.0,16.384915474642394,25.0,181.49336932393336,74.22091639035233,0,0,1,0,0,0,333.0
2024-06-03,Cabbage,260.6666666666667,2024,6,23,2,255.7142857142857,219.7142857142857,223.2258064516129,235.17241379310343,306.7741935483871,571.7241379310345,421.4285714285714,239.83026113671275,256.38013467344666,308.0190886699507,21.344932378864964,219.7142857142857,260.6666666666667,4.952380952380992,1.936685288640612,25.49425287356325,209.0377177919693,51.628948874697386,0,0,1,0,0,0,333.0
