Model,Test RMSE,Test MAE,Test R²,Overfitting Level,Accuracy Rating,Best_Model,Generated
XGBoost (Regularized),33.907848027493955,24.69310405458478,0.8609410966858532,HIGH,GOOD,CatBoost (Regularized),2026-02-16 15:51:28
LightGBM (Regularized),32.44059115667648,22.918325044762078,0.872715399654904,MODERATE,GOOD,CatBoost (Regularized),2026-02-16 15:51:28
CatBoost (Regularized),39.243624380034504,28.999688745540897,0.8137327235775023,LOW,GOOD,CatBoost (Regularized),2026-02-16 15:51:28
