vegetable,price,Badulla_actual_class,Hambantota_actual_class,Jaffna_actual_class,Kurunegala_actual_class,Matale_actual_class,Nuwara_Eliya_actual_class,Ratnapura_actual_class,Badulla_precipitation,Hambantota_precipitation,Jaffna_precipitation,Kurunegala_precipitation,Matale_precipitation,Nuwara_Eliya_precipitation,Ratnapura_precipitation,Badulla_prob_drought,Hambantota_prob_drought,Jaffna_prob_drought,Kurunegala_prob_drought,Matale_prob_drought,Nuwara_Eliya_prob_drought,Ratnapura_prob_drought,Badulla_prob_flood_risk,Hambantota_prob_flood_risk,Jaffna_prob_flood_risk,Kurunegala_prob_flood_risk,Matale_prob_flood_risk,Nuwara_Eliya_prob_flood_risk,Ratnapura_prob_flood_risk,Badulla_prob_normal,Hambantota_prob_normal,Jaffna_prob_normal,Kurunegala_prob_normal,Matale_prob_normal,Nuwara_Eliya_prob_normal,Ratnapura_prob_normal,USD_LKR_avg,RateChange_avg_%,week_num,price_lag1,price_lag2,price_roll_mean_4,price_roll_std_4
1,75.6,-1,-1,-1,-1,-1,-1,-1,5.428571428571429,5.884285714285715,0.89,5.138571428571429,5.138571428571429,4.692857142857143,3.607142857142857,0.9885714285714284,0.98,0.99,0.9871428571428572,0.9871428571428572,0.9957142857142856,0.9914285714285712,0.0,0.0014285714285714,0.0,0.0,0.0,0.0,0.0,0.0114285714285714,0.0185714285714285,0.01,0.0128571428571428,0.0128571428571428,0.0042857142857142,0.0085714285714285,113.83,-0.06,1,67.5,52.4,65.16666666666667,11.774690371017542
1,60.0,1,1,1,1,1,-1,-1,21.025714285714287,27.487142857142857,5.277142857142857,17.91,17.91,16.43,13.095714285714283,0.0585714285714285,0.1271428571428571,0.0385714285714285,0.0614285714285714,0.0614285714285714,0.9757142857142858,0.9757142857142858,0.2728571428571428,0.2214285714285714,0.0842857142857142,0.1728571428571428,0.18,0.01,0.0085714285714285,0.6685714285714285,0.6514285714285714,0.8771428571428571,0.7657142857142858,0.7585714285714286,0.0142857142857142,0.0157142857142857,126.25,-0.9,1,75.6,67.5,63.875,9.95502385732952
1,66.0,-1,-1,-1,0,0,0,0,2.2485714285714287,0.7571428571428571,10.23,3.7971428571428567,3.7971428571428567,1.4157142857142857,0.4485714285714285,0.9957142857142856,0.9985714285714286,0.9671428571428572,0.0071428571428571,0.0071428571428571,0.0257142857142857,0.0014285714285714,0.0,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0042857142857142,0.0014285714285714,0.0242857142857142,0.9928571428571428,0.9928571428571428,0.9742857142857144,0.9985714285714286,130.7,0.0,1,60.0,75.6,67.275,6.426702109169205
1,132.0,-1,-1,-1,-1,-1,-1,-1,0.7928571428571428,0.6728571428571428,0.1485714285714285,0.6457142857142857,0.6457142857142857,0.7742857142857142,0.8614285714285714,0.9842857142857142,0.9814285714285714,0.9971428571428572,0.9742857142857144,0.9742857142857144,0.9785714285714284,0.9842857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157142857142857,0.0185714285714285,0.0028571428571428,0.0257142857142857,0.0257142857142857,0.0214285714285714,0.0157142857142857,131.5,0.15,1,66.0,60.0,83.4,33.030894629119565
1,134.0,-1,-1,-1,-1,-1,-1,-1,6.5842857142857145,4.081428571428572,3.278571428571429,8.418571428571429,8.418571428571429,5.454285714285715,4.3,0.9914285714285712,0.9585714285714284,0.9685714285714284,0.9771428571428572,0.9785714285714284,0.9957142857142856,0.9928571428571428,0.0028571428571428,0.0,0.0,0.0042857142857142,0.0042857142857142,0.0,0.0,0.0057142857142857,0.0414285714285714,0.0314285714285714,0.0185714285714285,0.0171428571428571,0.0042857142857142,0.0071428571428571,143.72,-0.13,1,132.0,66.0,98.0,40.49691346263316
1,164.0,-1,-1,0,0,0,-1,-1,0.7814285714285715,0.7542857142857143,0.06,0.7314285714285714,0.7314285714285714,0.8085714285714286,0.8342857142857143,0.8571428571428571,0.8814285714285715,0.0,0.0014285714285714,0.0014285714285714,0.8871428571428571,0.7999999999999999,0.0028571428571428,0.0,0.0,0.0,0.0,0.0,0.0028571428571428,0.1399999999999999,0.1185714285714285,1.0,0.9985714285714286,0.9985714285714286,0.1128571428571428,0.1971428571428571,149.94,0.09,1,134.0,132.0,124.0,41.344084623236384
1,160.0,-1,-1,-1,-1,-1,-1,-1,0.5385714285714286,0.8371428571428572,0.0042857142857142,0.0714285714285714,0.0714285714285714,0.4042857142857143,0.66,0.9957142857142856,0.9928571428571428,0.9442857142857144,0.9728571428571428,0.9728571428571428,0.9942857142857144,0.9914285714285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042857142857142,0.0071428571428571,0.0557142857142857,0.0271428571428571,0.0271428571428571,0.0057142857142857,0.0085714285714285,153.9,0.29,1,164.0,134.0,147.5,16.842406795546303
1,112.0,-1,-1,-1,-1,-1,-1,-1,0.0628571428571428,0.0242857142857142,0.0042857142857142,0.0228571428571428,0.0228571428571428,0.0442857142857142,0.0571428571428571,0.9971428571428572,0.9971428571428572,1.0,0.9828571428571428,0.9857142857142858,0.9985714285714286,0.9957142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028571428571428,0.0028571428571428,0.0,0.0171428571428571,0.0142857142857142,0.0014285714285714,0.0042857142857142,181.8,-0.38,1,160.0,164.0,142.5,24.296776192189178
1,146.0,-1,-1,-1,-1,-1,-1,-1,4.524285714285715,3.6914285714285713,0.7128571428571429,2.717142857142857,2.717142857142857,3.5157142857142856,3.04,0.9957142857142856,0.9657142857142856,0.98,0.98,0.98,0.9985714285714286,0.9928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042857142857142,0.0342857142857142,0.02,0.0199999999999999,0.0199999999999999,0.0014285714285714,0.0071428571428571,181.3,0.06,1,112.0,160.0,145.5,23.62907813126299
1,192.0,-1,-1,1,-1,-1,-1,0,8.275714285714285,9.797142857142855,8.707142857142857,11.29,11.29,8.682857142857143,5.677142857142857,0.9785714285714284,0.93,0.0471428571428571,0.9485714285714284,0.9485714285714284,0.9842857142857142,0.0157142857142857,0.01,0.0057142857142857,0.0671428571428571,0.0228571428571428,0.0228571428571428,0.0071428571428571,0.0028571428571428,0.0114285714285714,0.0642857142857143,0.8857142857142858,0.0285714285714285,0.0285714285714285,0.0085714285714285,0.9814285714285714,187.0,0.54,1,146.0,112.0,152.5,33.16122233372383
